MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
54476.800000000185	1.7226003727452683e-15	3.520030899195688e-18	9.728009285333577e-16	2.201939136035488e-18	4.617219443691564e-16	5.234175322987625e-19	7.846823825319715e-16	1.6031084685983852e-18	2.0599674030924617e-15	1.0898231465798293e-17	2.322242950277423e-15	2.6014496711781074e-17	9.757580299904442e-16	3.1207689728829455e-17
54476.85000000019	1.709970241871773e-15	3.527761270514718e-18	9.692669742809078e-16	2.197227387327201e-18	4.617130272752711e-16	5.221848837687754e-19	7.822681686474036e-16	1.6005981780386658e-18	2.03012830099312e-15	1.0833646767609367e-17	2.2406796679163048e-15	2.5622622887678592e-17	9.749201331164911e-16	3.076342024557358e-17
54476.90000000019	1.6968468368445814e-15	3.53725661922391e-18	9.656186659206028e-16	2.19202377131408e-18	4.615763767795811e-16	5.216538096311705e-19	7.796936879141523e-16	1.599072554973407e-18	1.9998290624917585e-15	1.0787222201044133e-17	2.1591668531372814e-15	2.5275024629394857e-17	9.74116980605922e-16	3.040817395541944e-17
54476.95000000019	1.6833055561240295e-15	3.548288080096301e-18	9.618936844589235e-16	2.1861595583170375e-18	4.613251041250868e-16	5.217817436927855e-19	7.7698749565976065e-16	1.5983571248375363e-18	1.9691834699377186e-15	1.0756620378258044e-17	2.0780369190585922e-15	2.4969143336398276e-17	9.733582016234563e-16	3.013319625336749e-17
54477.0000000002	1.6694176647929966e-15	3.560649981910915e-18	9.581273725137642e-16	2.1795052391883377e-18	4.609718671857746e-16	5.225130586239071e-19	7.741766337687665e-16	1.5982878670806586e-18	1.9382954813765926e-15	1.0739708380339589e-17	1.9976074915191534e-15	2.4702284784461804e-17	9.726534262302737e-16	2.992969472446572e-17
54477.0500000002	1.655250450270399e-15	3.574166965888073e-18	9.543528271455753e-16	2.171976543910646e-18	4.605288794750336e-16	5.237831482662073e-19	7.712867025427868e-16	1.5987203972953058e-18	1.9072604421882604e-15	1.0734388058456359e-17	1.918178829135169e-15	2.4471741418237355e-17	9.720122856065766e-16	2.978904954975666e-17
54477.1000000002	1.6408673837930072e-15	3.588701061484037e-18	9.506009889127072e-16	2.163540532178628e-18	4.60007920380945e-16	5.255239733869393e-19	7.683419293302175e-16	1.5995394630984088e-18	1.8761662801122878e-15	1.0738505381268986e-17	1.8400316556420757e-15	2.4274899267837533e-17	9.714444122749546e-16	2.9702998530614155e-17
54477.150000000205	1.6263282831303157e-15	3.6041581615008285e-18	9.469007262924911e-16	2.1542206456165514e-18	4.594203461287649e-16	5.276708453301019e-19	7.653652332419562e-16	1.6006676843903896e-18	1.8450946558411444e-15	1.0749843151906514e-17	1.763425407187595e-15	2.4109326151094512e-17	9.709594403229273e-16	2.9663789261011725e-17
54477.20000000021	1.61168947298441e-15	3.620493075669964e-18	9.432789186003975e-16	2.1440980983861407e-18	4.587771007917713e-16	5.301695621139793e-19	7.623782855994942e-16	1.6020719214198347e-18	1.8141220515297263e-15	1.076618919768997e-17	1.6885968877397499e-15	2.397283929164621e-17	9.705670056264452e-16	2.966429506662638e-17
54477.25000000021	1.5970039404110387e-15	3.637712050524472e-18	9.397605815316437e-16	2.1332979719670873e-18	4.580887264628399e-16	5.329816933698165e-19	7.594015660077296e-16	1.6037649694825596e-18	1.783320787437293e-15	1.0785466302879357e-17	1.6157593187808078e-15	2.386355172059055e-17	9.702767460723446e-16	2.9698094808986877e-17
54477.300000000214	1.5823214938161333e-15	3.65586833764379e-18	9.363688336121048e-16	2.1219759490853877e-18	4.573653235540415e-16	5.360777541161535e-19	7.564544438598855e-16	1.6057855306564944e-18	1.7527599620167092e-15	1.0805906929741546e-17	1.545101764245431e-15	2.3779897724422328e-17	9.700983017819274e-16	2.975951918923042e-17
54477.35000000022	1.5676890497678041e-15	3.6750148992856295e-18	9.331236811412656e-16	2.1102095917218244e-18	4.5661624953034505e-16	5.393933732297554e-19	7.535554160251931e-16	1.6080988479458605e-18	1.722506313028683e-15	1.0826251434241657e-17	1.4767889076016397e-15	2.3720638111309078e-17	9.700413153336393e-16	2.984366771672048e-17
