# wavelength flux
4721.83628 2.19320e-17
4723.11198 2.13311e-17
4724.37764 2.08432e-17
4725.65334 2.07574e-17
4726.91900 2.08072e-17
4728.19470 2.06191e-17
4729.46036 2.04067e-17
4730.72601 2.05251e-17
4732.00172 2.08463e-17
4733.26737 2.08902e-17
4734.54308 2.05419e-17
4735.80873 2.01535e-17
4737.08444 2.00730e-17
4738.35009 2.02074e-17
4739.61575 2.02513e-17
4740.89145 1.99989e-17
4742.15711 1.95552e-17
4743.43281 1.91016e-17
4744.69847 1.86971e-17
4745.97417 1.84926e-17
4747.23983 1.84963e-17
4748.50549 1.84406e-17
4749.78119 1.81804e-17
4751.04685 1.78600e-17
4752.32255 1.74340e-17
4753.58821 1.67142e-17
4754.85386 1.61174e-17
4756.11952 1.61878e-17
4757.38518 1.66701e-17
4758.66088 1.68020e-17
4759.92654 1.64309e-17
4761.20224 1.59671e-17
4762.46790 1.56352e-17
4763.74360 1.54023e-17
4765.00926 1.52909e-17
4766.27492 1.54280e-17
4767.55062 1.55933e-17
4768.81628 1.54376e-17
4770.09198 1.48689e-17
4771.35763 1.42726e-17
4772.63334 1.40487e-17
4773.89899 1.41512e-17
4775.17470 1.41490e-17
4776.44035 1.37669e-17
4777.70601 1.32989e-17
4778.98171 1.30803e-17
4780.24737 1.30128e-17
4781.52307 1.27361e-17
4782.78873 1.22789e-17
4784.06443 1.18653e-17
4785.33009 1.16348e-17
4786.59575 1.16354e-17
4787.87145 1.18033e-17
4789.13711 1.17684e-17
4790.41281 1.13117e-17
4791.67847 1.08330e-17
4792.95417 1.06564e-17
4794.21983 1.05661e-17
4795.48548 1.04142e-17
4796.76119 1.03400e-17
4798.02684 1.04235e-17
4799.30255 1.02985e-17
4800.56820 9.91875e-18
4801.84391 9.66768e-18
4803.10956 9.66520e-18
4804.37522 9.77287e-18
4805.65092 9.79373e-18
4806.91658 9.83308e-18
4808.19228 9.73486e-18
4809.45794 9.39557e-18
4810.73364 9.20682e-18
4811.99930 9.52379e-18
4813.26496 1.00722e-17
4814.54066 1.02031e-17
4815.80632 9.99398e-18
4817.08202 9.99452e-18
4818.34768 1.03417e-17
4819.62338 1.06423e-17
4820.88904 1.06139e-17
4822.16474 1.04430e-17
4823.43040 1.04004e-17
4824.69605 1.05445e-17
4825.97176 1.05908e-17
4827.23741 1.03730e-17
4828.51312 1.01104e-17
4829.77877 1.01039e-17
4831.05448 1.03118e-17
4832.32013 1.04002e-17
4833.58579 1.02289e-17
4834.86149 9.97580e-18
