MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err
54431.8698999984	2.139679199325866e-15	1.4188460951047887e-17	6.404214054973827e-16	2.6282681742647927e-18	1.0310126016696824e-15	5.906267773477769e-18	1.914656404829692e-15	6.198789525137358e-17	1.4398933569998977e-15	1.486604107755255e-17
54431.9198999984	2.1740722075924323e-15	1.43929905665133e-17	6.489247782468451e-16	2.677923027437128e-18	1.0470432560915338e-15	5.990297820862886e-18	1.9391578400378753e-15	6.289985892888472e-17	1.4648208625620757e-15	1.510210627128388e-17
54431.9698999984	2.2079294422139485e-15	1.4594358288057957e-17	6.573190773893831e-16	2.7521928634052158e-18	1.062810057711852e-15	6.073115104392931e-18	1.9633429136052106e-15	6.384203232741047e-17	1.4895054564227632e-15	1.5333702229001285e-17
54432.019899998406	2.2412615839323755e-15	1.47928023486685e-17	6.656076843322827e-16	2.829220425655846e-18	1.0783193804471779e-15	6.1548505208720676e-18	1.9872297053412125e-15	6.480994494075116e-17	1.5139474530254959e-15	1.5561002649151073e-17
54432.06989999841	2.274079305484476e-15	1.4988636867446078e-17	6.73793973080708e-16	2.8922998704129313e-18	1.0935775949540695e-15	6.2356777016431466e-18	2.0108301585295964e-15	6.577135822672244e-17	1.5381472058631752e-15	1.5784202401610697e-17
54432.11989999841	2.3063932716831844e-15	1.5182247680500388e-17	6.818813156851731e-16	2.932382574903441e-18	1.1085910672207203e-15	6.31580868039558e-18	2.034155975397525e-15	6.670318148518746e-17	1.5621057059972727e-15	1.6003404664209087e-17
54432.169899998415	2.3382140043450587e-15	1.5373947305873844e-17	6.898730822269056e-16	2.9486678877198987e-18	1.1233660138429391e-15	6.3953646050441915e-18	2.057218778700356e-15	6.759430744478409e-17	1.585824439805148e-15	1.621864568714313e-17
54432.21989999842	2.3695516085702493e-15	1.5563688946408362e-17	6.9777264097352665e-16	2.948493323424655e-18	1.1379083808737868e-15	6.4742691554854335e-18	2.08003011389863e-15	6.844628513681593e-17	1.6093049037316273e-15	1.642998363370653e-17
54432.26989999842	2.4004161050305963e-15	1.5751411475316537e-17	7.055833583790511e-16	2.9466562623983983e-18	1.1522240828728003e-15	6.552457934518423e-18	2.1026014513210155e-15	6.927293727547106e-17	1.6325485911811657e-15	1.663750038929357e-17
54432.31989999842	2.4308175071719017e-15	1.593712202312906e-17	7.133085991357806e-16	2.9634851945541412e-18	1.1663190315231892e-15	6.629905490559669e-18	2.124944188314809e-15	7.009900453647638e-17	1.6555569925357699e-15	1.684130079900996e-17
54432.369899998426	2.4607658213541984e-15	1.6120897410036086e-17	7.209515722479523e-16	3.0158216541464616e-18	1.1801991357033147e-15	6.706626486385483e-18	2.147069562936876e-15	7.095666080077263e-17	1.6783315951724636e-15	1.7041511757618758e-17
54432.41989999843	2.490271047008574e-15	1.630288395452444e-17	7.285146571259327e-16	3.0918043951674077e-18	1.1938703015597916e-15	6.782675821703517e-18	2.1689861118303408e-15	7.184939955723722e-17	1.7008738834808916e-15	1.7238281155224872e-17
54432.46989999843	2.519343176778977e-15	1.648329577471957e-17	7.359999545606453e-16	3.1710728539215576e-18	1.2073384325816484e-15	6.858147789718299e-18	2.190699288971767e-15	7.274668795418734e-17	1.7231853388836192e-15	1.74317766801006e-17
