MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56406.32139998193	4.258959814305401e-14	4.682861936292796e-16	2.2724702798894325e-14	2.4697518362904923e-16	4.143719790868505e-14	4.017887530207682e-16	8.491357358501326e-15	1.0014009258175082e-16	1.5992705358281162e-14	1.8216508751355288e-16	7.500394582564033e-14	2.152409843175759e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.37139998193	4.301350896104997e-14	4.610661704926019e-16	2.2898663002820133e-14	2.4295874597443687e-16	4.14967260725903e-14	3.974984304884022e-16	8.588930277927907e-15	9.800454445513863e-17	1.6142153628704952e-14	1.78561724469616e-16	7.600700253567763e-14	2.1964275150804186e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.42139998193	4.3433669292660435e-14	4.543846586875742e-16	2.307186930276118e-14	2.3917563036022344e-16	4.1556308266250404e-14	3.933035444233776e-16	8.686373387640424e-15	9.600320449198076e-17	1.6291210672356514e-14	1.7515695777655232e-16	7.696289009492139e-14	2.2426314927196785e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.471399981936	4.384996515840218e-14	4.482292364870712e-16	2.3244277218410316e-14	2.356250725984603e-16	4.1615936055679724e-14	3.892046832332064e-16	8.78366171145813e-15	9.41348600135794e-17	1.6439836683650695e-14	1.7194938120408603e-16	7.7873065651697e-14	2.2901875546191943e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.52139998194	4.426228266807651e-14	4.4258688138497186e-16	2.3415842269493414e-14	2.323060218291553e-16	4.1675601006848564e-14	3.8520241641606517e-16	8.880770262734661e-15	9.239807652239639e-17	1.658799184084585e-14	1.6893735294255673e-16	7.873897976735698e-14	2.338330925398517e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.57139998194	4.4670506353818446e-14	4.3744392098272175e-16	2.3586519971409042e-14	2.2921712903050215e-16	4.17352946858068e-14	3.812972921226649e-16	8.977674060487395e-15	9.079119242176317e-17	1.6735635951623805e-14	1.6611893507700068e-16	7.956207433077152e-14	2.3863913973106054e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.621399981945	4.507451726658812e-14	4.3278595062633654e-16	2.3756265436487825e-14	2.263566968775752e-16	4.179500865863128e-14	3.774898346225301e-16	9.074348223711079e-15	8.931227497654085e-17	1.688272838836166e-14	1.634918775460618e-16	8.034378281284118e-14	2.4338089520670335e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.67139998195	4.5474195972263944e-14	4.285982194585573e-16	2.3925032895146962e-14	2.237226254245658e-16	4.1854734491329254e-14	3.737805416513082e-16	9.170767947860982e-15	8.79591334010842e-17	1.702922849265739e-14	1.6105368268867625e-16	8.108553051983083e-14	2.4801429255169397e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.72139998195	4.586942302659925e-14	4.2486578633688096e-16	2.4092776457398583e-14	2.213124785214999e-16	4.191446374999178e-14	3.7016988166233654e-16	9.266908429992996e-15	8.67293561338218e-17	1.7175095611119533e-14	1.5880161026200964e-16	8.178873484556448e-14	2.5250764832597896e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56406.77139998195	4.6260078334583074e-14	4.215735454246372e-16	2.4259450237879432e-14	2.1912349030841206e-16	4.1974188000641735e-14	3.666582909909182e-16	9.362744867532387e-15	8.562032189953699e-17	1.7320289079210682e-14	1.567326792975834e-16	8.245480552251455e-14	2.5684177750447557e-15	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
