MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54147.62799998178	2.7572003108405435e-16	1.6354246205461224e-17	3.118475757477097e-16	1.278903921983449e-17	nan	nan	1.3791390156107775e-16	9.304545704823486e-18	2.743172659912369e-16	1.7137198624132927e-17	nan	nan	2.538912753011018e-16	4.766317030073019e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.076354836371426e-16	3.696715374329222e-17
54147.67799998178	2.847295402276116e-16	1.608126561666942e-17	3.1997239682915023e-16	1.2850954686974136e-17	nan	nan	1.4124360902562945e-16	9.427892344396695e-18	2.8053189897793026e-16	1.7354787188006685e-17	nan	nan	2.6277396105695524e-16	4.812016299830389e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.158712849502573e-16	3.7220790599873723e-17
54147.727999981784	2.9385818900396833e-16	1.5757963934907677e-17	3.281643505871755e-16	1.2915908385306373e-17	nan	nan	1.4459155493918476e-16	9.55062024157444e-18	2.867717756627329e-16	1.7569878874151646e-17	nan	nan	2.717682297237065e-16	4.842633560504447e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.2417586608222095e-16	3.747393202647206e-17
54147.77799998179	3.031099677628937e-16	1.5393998890925428e-17	3.3642290400405356e-16	1.2980914155413423e-17	nan	nan	1.479576731196311e-16	9.672572217841402e-18	2.9303670503898755e-16	1.7782735538329806e-17	nan	nan	2.808770723833371e-16	4.859122702315261e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.3254886554703255e-16	3.77237649294611e-17
54147.82799998179	3.124888680118151e-16	1.5000445735004302e-17	3.44747524646759e-16	1.3043343501855649e-17	nan	nan	1.513418974885486e-16	9.793613593579299e-18	2.9932649628465265e-16	1.79936929145756e-17	nan	nan	2.901034836116143e-16	4.8625957506398514e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.409899235540473e-16	3.7967820747638635e-17
54147.87799998179	3.2199888245369693e-16	1.45899533158829e-17	3.53137680662642e-16	1.3100980396511671e-17	nan	nan	1.547441620707338e-16	9.913635251771787e-18	3.056409587609767e-16	1.8203157191613864e-17	nan	nan	2.994504615688679e-16	4.8543251829296156e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.4949868199746706e-16	3.820403420336907e-17
54147.927999981795	3.316440050240197e-16	1.4176858562750668e-17	3.6159284077403476e-16	1.3152059503002976e-17	nan	nan	1.5816440099398995e-16	1.0032556005989345e-17	3.119799020108664e-16	1.8411600614526446e-17	nan	nan	3.089210080908749e-16	4.835747908207588e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.5807478444591376e-16	3.8430788515192744e-17
54147.9779999818	3.4142823092881176e-16	1.3777202845182169e-17	3.701124742737048e-16	1.3195291059651512e-17	nan	nan	1.6160254848852684e-16	1.0150324345722587e-17	3.1834313575730616e-16	1.861955612689548e-17	nan	nan	3.1851812877988475e-16	4.8084695967553975e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.66717876131738e-16	3.8646948619501475e-17
54148.0279999818	3.513555566819636e-16	1.3408567354688813e-17	3.786960510198133e-16	1.3229875173486306e-17	nan	nan	1.6505853888665214e-16	1.0266919621535118e-17	3.247304699020832e-16	1.8827611066312285e-17	nan	nan	3.282448330957933e-16	4.7742678081776325e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.7542760394075086e-16	3.8851883733066193e-17
54148.077999981804	3.6142998014296264e-16	1.308962301726443e-17	3.8734304143105797e-16	1.3255507581987354e-17	nan	nan	1.685323066223199e-16	1.0382352722925937e-17	3.311417145239009e-16	1.9036399925991188e-17	nan	nan	3.3810413444714005e-16	4.735091992149844e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.8420361640164515e-16	3.9045480306605965e-17
54148.12799998181	3.7165550055412176e-16	1.2839292760660642e-17	3.960529164818653e-16	1.3272378189124443e-17	nan	nan	1.7202378623077829e-16	1.0496666292365453e-17	3.375766798771857e-16	1.9246596196612514e-17	nan	nan	3.480990502825681e-16	4.6930579667111285e-17	nan	nan	nan	nan	nan	nan	nan	nan	3.930455636757017e-16	3.9228146100307886e-17
54148.17799998181	3.820361054467305e-16	1.267541115974133e-17	4.048251476974776e-16	1.3281162874556492e-17	nan	nan	1.755329123480441e-16	1.0609934510848395e-17	3.4403517639030246e-16	1.9458903313593266e-17	nan	nan	3.582326021820102e-16	4.650433991359735e-17	1.1645667996840568e-16	5.956254021169851e-18	nan	nan	nan	nan	nan	nan	4.0195309754629247e-16	3.940080578194128e-17
54148.22799998181	3.925741629216953e-16	1.2605021635986884e-17	4.1365920714893574e-16	1.3283008322357108e-17	nan	nan	1.7905961971065552e-16	1.0722262482223475e-17	3.505170134593566e-16	1.9673882589588056e-17	nan	nan	3.6850781594825897e-16	4.609615186441601e-17	1.221359922451768e-16	1.1769795218776867e-17	nan	nan	nan	nan	nan	nan	4.10925871408642e-16	3.956488812926311e-17
54148.277999981816	4.0326887721660226e-16	1.2615893354428736e-17	4.2255456744855345e-16	1.327950889450057e-17	nan	nan	1.826038431551528e-16	1.0833785237230815e-17	3.5702199436848225e-16	1.989126260710163e-17	nan	nan	3.789277216984893e-16	4.573083017110045e-17	1.2788293472643927e-16	1.851632572317113e-17	nan	nan	nan	nan	nan	nan	4.1996354025951135e-16	3.972230462578321e-17
54148.32799998182	4.1411908793309443e-16	1.26917616095665e-17	4.315107017448443e-16	1.327267395183665e-17	nan	nan	1.86165517617726e-16	1.0944666372955675e-17	3.635499205299262e-16	2.011051455478831e-17	nan	nan	3.8949535395589646e-16	4.5433471364299144e-17	1.3370141688314496e-16	2.504307226441562e-17	nan	nan	nan	nan	nan	nan	4.290657606868875e-16	3.9875418998287067e-17
54148.37799998182	4.251236361338362e-16	1.2815615753883631e-17	4.405270837176299e-16	1.3264883546820139e-17	nan	nan	1.897445781337265e-16	1.1055096339345481e-17	3.701005935226536e-16	2.0331135210150537e-17	nan	nan	4.0021375174144443e-16	4.522868342462108e-17	1.3959535299998918e-16	3.1170864166571555e-17	nan	nan	nan	nan	nan	nan	4.3823219085965597e-16	4.0027007064556493e-17
54148.427999981825	4.3628136433180036e-16	1.2970912153839561e-17	4.49603187573406e-16	1.3258830131163172e-17	nan	nan	1.9334095983740746e-16	1.116529038020561e-17	3.7667381509189876e-16	2.0552654149657327e-17	nan	nan	4.1108540637473984e-16	4.5134332843049694e-17	1.4556866244019553e-16	3.68505931209335e-17	nan	nan	nan	nan	nan	nan	4.474624905175645e-16	4.01802061676653e-17
