MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54400.86979999961	nan	nan	nan	nan	nan	nan	nan	nan	4.771750800553914e-15	1.6263838981438225e-16	2.32342552145106e-15	7.191237987366582e-17	3.707735016830222e-15	1.1370481704872598e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.91979999961	nan	nan	nan	nan	nan	nan	nan	nan	4.841264692087414e-15	1.6669722450600424e-16	2.3542891510355093e-15	7.328191820246438e-17	3.75617087416416e-15	1.1575623389511752e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54400.96979999961	nan	nan	nan	nan	nan	nan	nan	nan	4.910247769504082e-15	1.7082911892522649e-16	2.3849845649742085e-15	7.47090384831449e-17	3.804358715650523e-15	1.1790103089615695e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.019799999616	nan	nan	nan	nan	nan	nan	nan	nan	4.978667310110597e-15	1.7501159465897843e-16	2.4155032239850986e-15	7.61839345343692e-17	3.852285481060525e-15	1.2012421158598099e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.06979999962	nan	nan	nan	nan	nan	nan	nan	nan	5.046491320804979e-15	1.7922591686526243e-16	2.445838686343447e-15	7.769751511009428e-17	3.8999411741931694e-15	1.2241180434002025e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.11979999962	nan	nan	nan	nan	nan	nan	nan	nan	5.113698534125196e-15	1.8345461748071552e-16	2.4759845967853248e-15	7.924164852452645e-17	3.9473159253761695e-15	1.247512248193231e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.169799999625	nan	nan	nan	nan	nan	nan	nan	nan	5.18027549956503e-15	1.8768169908105742e-16	2.5059345976852526e-15	8.080911629381553e-17	3.994399861731582e-15	1.2713122108723727e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.21979999963	nan	nan	nan	nan	nan	nan	nan	nan	5.246208891456977e-15	1.9189386428578793e-16	2.5356823289812427e-15	8.239354733595944e-17	4.0411831070688265e-15	1.295417880280423e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.26979999963	nan	nan	nan	nan	nan	nan	nan	nan	5.311485328580575e-15	1.9608024975409465e-16	2.5652214280958957e-15	8.398934959139494e-17	4.087655781772768e-15	1.3197407546634366e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.319799999634	nan	nan	nan	nan	nan	nan	nan	nan	5.376091373066053e-15	2.002321504460529e-16	2.594545529859763e-15	8.559164186746655e-17	4.133808002694471e-15	1.3442029442133638e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.36979999964	nan	nan	nan	nan	nan	nan	nan	nan	5.440013529294971e-15	2.0434277046464075e-16	2.6236482664574634e-15	8.719618779416309e-17	4.17962988307596e-15	1.3687362462402104e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.41979999964	nan	nan	nan	nan	nan	nan	nan	nan	5.503238242796437e-15	2.0840699903615864e-16	2.652523924922321e-15	8.879921280968993e-17	4.225112502458758e-15	1.3932795526902665e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.46979999964	nan	nan	nan	nan	nan	nan	nan	nan	5.5657518991416095e-15	2.12421209418843e-16	2.6811691650966645e-15	9.039703261878111e-17	4.270250440936339e-15	1.4177735809309316e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.519799999645	nan	nan	nan	nan	nan	nan	nan	nan	5.627540888130958e-15	2.1638305862368413e-16	2.7095811802411105e-15	9.198634049392865e-17	4.3150390657779496e-15	1.442164915638592e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.56979999965	nan	nan	nan	nan	nan	nan	nan	nan	5.688596429807069e-15	2.2028988017524582e-16	2.7377571607254573e-15	9.356426106882717e-17	4.359473740286117e-15	1.4664067431118917e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.61979999965	nan	nan	nan	nan	nan	nan	nan	nan	5.748917885317359e-15	2.2413756534913103e-16	2.7656942939911086e-15	9.512830954391956e-17	4.403549823744108e-15	1.4904582451937633e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.669799999654	nan	nan	nan	nan	nan	nan	nan	nan	5.8085053363683315e-15	2.2792269786012084e-16	2.7933897645185064e-15	9.667635434798167e-17	4.447262671365407e-15	1.514284040945352e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.71979999966	nan	nan	nan	nan	nan	nan	nan	nan	5.867358801531618e-15	2.3164271360169253e-16	2.820840753791995e-15	9.820658309965725e-17	4.490607634239122e-15	1.537853674877505e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
54401.76979999966	nan	nan	nan	nan	nan	nan	nan	nan	5.92547823616124e-15	2.3529583174931795e-16	2.8480444402637095e-15	9.971747165489517e-17	4.533580059279401e-15	1.5611411494640357e-16	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
