FilterSet	Flux	Flux_err	Instr	MJD	Source	band
GeneralFilters	8.700512759684204e-16	1.6026936785478393e-17	LCOGT	56514.46	nan	Bessell_V
GeneralFilters	8.301275900349022e-16	1.529151531276295e-17	LCOGT	56516.41	nan	Bessell_V
GeneralFilters	7.701465271462389e-16	4.136159439709043e-17	LCOGT	56518.604999999996	nan	Bessell_V
GeneralFilters	6.931517356702361e-16	1.4172126024134375e-17	LCOGT	56523.625	nan	Bessell_V
GeneralFilters	6.816239603197782e-16	1.5694971700606995e-17	LCOGT	56526.4	nan	Bessell_V
GeneralFilters	6.251591194269628e-16	7.891107042139695e-18	LCOGT	56528.85249999999	nan	Bessell_V
GeneralFilters	6.673364523810745e-16	1.4751350085729807e-17	LCOGT	56530.01	nan	Bessell_V
GeneralFilters	6.024830709513505e-16	1.1098148303637242e-17	Nickel	56531.19	nan	Bessell_V
GeneralFilters	2.910347505029934e-17	4.5568994907572275e-18	Nickel	56675.58	nan	Bessell_V
GeneralFilters	1.0557916632912555e-15	9.462020563355218e-18	P60	56461.206874999996	nan	sdss_g'
GeneralFilters	1.471253173896152e-15	2.3523755996061503e-16	LCOGT	56462.61	nan	sdss_g'
GeneralFilters	3.006099942815051e-15	3.599336476514305e-17	LCOGT	56465.08	nan	sdss_g'
GeneralFilters	4.4692382943202704e-15	1.6228043034328768e-16	LCOGT	56467.66499999999	nan	sdss_g'
GeneralFilters	5.237647589902963e-15	1.443380425740664e-16	P60	56469.215	nan	sdss_g'
GeneralFilters	5.837986343136467e-15	1.0518650541077316e-16	P60	56470.9475	nan	sdss_g'
GeneralFilters	6.013638057937821e-15	9.295046103549825e-17	P60	56472.195	nan	sdss_g'
GeneralFilters	6.292610082062288e-15	4.0265510022546193e-17	P60	56476.0679284668	nan	sdss_g'
GeneralFilters	5.948444519671849e-15	6.57446384519858e-17	LCOGT	56477.24	nan	sdss_g'
GeneralFilters	5.5924668099659864e-15	2.575426141925868e-17	LCOGT	56478.24	nan	sdss_g'
GeneralFilters	4.947132963759647e-15	6.97166356798629e-17	LCOGT	56480.17085937499	nan	sdss_g'
GeneralFilters	4.57934554381164e-15	2.5306398683538228e-17	LCOGT	56481.2	nan	sdss_g'
GeneralFilters	3.5201070252185027e-15	2.3985796423994937e-16	LCOGT	56482.837499999994	nan	sdss_g'
GeneralFilters	2.4824603535605407e-15	9.492589844501641e-17	P60	56485.94125	nan	sdss_g'
GeneralFilters	1.9666828934199137e-15	2.2214429924480113e-17	LCOGT	56488.086406250004	nan	sdss_g'
GeneralFilters	1.0083316873521182e-15	1.8574156096728788e-17	LCOGT	56499.23	nan	sdss_g'
GeneralFilters	8.749081682475524e-16	7.138600183450793e-18	P60	56504.0775	nan	sdss_g'
GeneralFilters	8.394665881441444e-16	5.467189124342762e-18	P60	56505.18	nan	sdss_g'
GeneralFilters	8.0861806015803e-16	1.0013033016647327e-17	P60	56506.9525	nan	sdss_g'
GeneralFilters	7.868145244784453e-16	6.1976405052545265e-18	P60	56508.91734375	nan	sdss_g'
GeneralFilters	7.957266013031877e-16	2.4254526958716604e-17	LCOGT	56510.075	nan	sdss_g'
GeneralFilters	7.970872153388438e-16	2.018969927454906e-17	LCOGT	56512.1425	nan	sdss_g'
GeneralFilters	7.217776257778254e-16	1.4625198733863044e-17	LCOGT	56515.07	nan	sdss_g'
GeneralFilters	7.663080985755221e-16	9.175345942972142e-18	LCOGT	56516.41	nan	sdss_g'
GeneralFilters	7.103533686537819e-16	9.538059061619935e-18	LCOGT	56518.525	nan	sdss_g'
GeneralFilters	6.426927714977278e-16	2.308573480243933e-17	LCOGT	56522.11	nan	sdss_g'
GeneralFilters	6.160322028476455e-16	3.007149122207315e-17	LCOGT	56525.12	nan	sdss_g'
GeneralFilters	6.103843856650364e-16	4.1039490032827026e-17	LCOGT	56526.41	nan	sdss_g'
GeneralFilters	5.998691463372041e-16	7.69065531631648e-18	LCOGT	56529.00750000001	nan	sdss_g'
GeneralFilters	6.240270495324127e-16	1.7817254735264407e-17	LCOGT	56531.1	nan	sdss_g'
GeneralFilters	5.490392787087363e-16	7.151449779630805e-18	P60	56533.15	nan	sdss_g'
GeneralFilters	5.665045669516167e-16	6.261239860676469e-18	LCOGT	56535.99	nan	sdss_g'
GeneralFilters	5.316225757913533e-16	3.462295230884747e-18	P60	56537.17	nan	sdss_g'
GeneralFilters	5.105090146536788e-16	1.175490446981486e-17	LCOGT	56539.72	nan	sdss_g'
GeneralFilters	5.541194766051443e-16	1.0207257972562831e-17	LCOGT	56540.72	nan	sdss_g'
GeneralFilters	4.694050616729606e-16	7.715882212382843e-18	P60	56542.134999999995	nan	sdss_g'
GeneralFilters	5.138110208783234e-16	1.3250648289641406e-17	LCOGT	56544.72	nan	sdss_g'
GeneralFilters	3.8124434923734746e-17	1.5098977951860107e-18	NOT	56685.23	nan	sdss_g'
GeneralFilters	2.934968303074283e-17	2.0814683930187528e-18	NOT	56698.22	nan	sdss_g'
GeneralFilters	1.3366060277093186e-17	3.82859549858383e-18	NOT	56752.46	nan	sdss_g'
GeneralFilters	6.950297833526665e-18	1.8500221923927056e-18	NOT	56779.01	nan	sdss_g'
GeneralFilters	4.111579791250313e-16	6.036532125415945e-17	LCOGT	56461.77322265625	nan	sdss_i'
GeneralFilters	7.149617503471722e-16	1.3828586254639886e-17	LCOGT	56463.01	nan	sdss_i'
GeneralFilters	1.0692587383668845e-15	1.5757179081771418e-17	LCOGT	56465.09	nan	sdss_i'
GeneralFilters	1.4594965320058214e-15	5.036114317560423e-17	LCOGT	56467.67125	nan	sdss_i'
GeneralFilters	1.7138152645759922e-15	1.3490774093951954e-17	P60	56469.2175	nan	sdss_i'
GeneralFilters	1.966900153251676e-15	1.248513078548111e-17	P60	56471.093125	nan	sdss_i'
GeneralFilters	2.057475430343838e-15	8.669623494317986e-18	P60	56472.19	nan	sdss_i'
GeneralFilters	2.3597514558939927e-15	8.672509433118597e-18	LCOGT	56475.611640625	nan	sdss_i'
GeneralFilters	2.4965480840842124e-15	1.5937277540069268e-17	LCOGT	56477.235	nan	sdss_i'
GeneralFilters	2.501974091434508e-15	2.3044032984002017e-17	LCOGT	56478.25	nan	sdss_i'
GeneralFilters	2.485250907606468e-15	2.650624507883067e-17	LCOGT	56480.17625	nan	sdss_i'
GeneralFilters	2.4470500378766264e-15	2.023046993412898e-17	LCOGT	56481.2	nan	sdss_i'
GeneralFilters	2.1751179287687882e-15	1.8030218825856034e-17	LCOGT	56482.71	nan	sdss_i'
GeneralFilters	1.787885964717548e-15	4.964042125505924e-17	P60	56485.942500000005	nan	sdss_i'
GeneralFilters	1.5544089275673182e-15	3.680318999173219e-17	P60	56487.935625	nan	sdss_i'
GeneralFilters	8.438841076354046e-16	1.8653903677945588e-17	LCOGT	56499.23	nan	sdss_i'
GeneralFilters	7.445011276655761e-16	5.067177725323729e-18	P60	56504.9528125	nan	sdss_i'
GeneralFilters	7.066625006107854e-16	5.985353695685627e-18	P60	56506.94500000001	nan	sdss_i'
GeneralFilters	6.575493525723869e-16	1.2735049535970854e-17	P60	56508.91703125001	nan	sdss_i'
GeneralFilters	6.408892759042462e-16	8.043679164363121e-18	LCOGT	56510.075	nan	sdss_i'
GeneralFilters	6.302450577630045e-16	1.3672888094107325e-17	LCOGT	56512.325	nan	sdss_i'
GeneralFilters	6.342826151973717e-16	1.4604896944989658e-17	LCOGT	56515.08	nan	sdss_i'
GeneralFilters	5.715876125039179e-16	1.0529032927142382e-17	LCOGT	56516.42	nan	sdss_i'
GeneralFilters	5.455558015270243e-16	1.0558564103842504e-17	LCOGT	56518.53	nan	sdss_i'
GeneralFilters	4.964583369717197e-16	1.554667089771446e-17	LCOGT	56522.12	nan	sdss_i'
GeneralFilters	4.561238780870729e-16	1.3023274123796769e-17	LCOGT	56525.12	nan	sdss_i'
GeneralFilters	4.3922070849244957e-16	4.085825945875652e-17	LCOGT	56526.42	nan	sdss_i'
GeneralFilters	4.4253579140040206e-16	6.541772332032636e-18	LCOGT	56529.0075	nan	sdss_i'
GeneralFilters	4.436932361069221e-16	1.0625070885757149e-17	LCOGT	56530.01	nan	sdss_i'
GeneralFilters	4.1293605855447942e-16	1.2931157613926311e-17	LCOGT	56531.11	nan	sdss_i'
GeneralFilters	4.248961619416718e-16	5.534437482918427e-18	P60	56533.14	nan	sdss_i'
GeneralFilters	4.2294394140733274e-16	1.9477288293140595e-17	LCOGT	56536.0	nan	sdss_i'
GeneralFilters	3.7938731692688997e-16	4.9416671069851515e-18	P60	56537.16	nan	sdss_i'
GeneralFilters	3.6031538651292394e-16	4.9779410265629985e-18	LCOGT	56539.73	nan	sdss_i'
GeneralFilters	3.683393469771498e-16	3.979747868636515e-18	P60	56541.052500000005	nan	sdss_i'
GeneralFilters	3.5233581393486525e-16	4.2183037657209866e-18	P60	56542.1375	nan	sdss_i'
GeneralFilters	3.3441273531298026e-16	6.160110233922029e-18	LCOGT	56544.73	nan	sdss_i'
GeneralFilters	2.822817545394542e-17	3.899866560156547e-18	NOT	56721.17	nan	sdss_i'
GeneralFilters	7.861283183505761e-16	1.4137109666183723e-16	LCOGT	56461.753818035126	nan	sdss_r'
GeneralFilters	1.3449921613473198e-15	2.4775671207276676e-17	LCOGT	56463.01	nan	sdss_r'
GeneralFilters	2.065949746563432e-15	3.234777060735314e-17	LCOGT	56465.08	nan	sdss_r'
GeneralFilters	2.7043202155389672e-15	8.565904919801074e-17	LCOGT	56467.66499999999	nan	sdss_r'
GeneralFilters	3.1849061837425784e-15	4.6764943676704066e-17	P60	56469.215	nan	sdss_r'
GeneralFilters	3.637820136933706e-15	2.713505790067786e-17	P60	56471.099375000005	nan	sdss_r'
GeneralFilters	3.832527338833753e-15	1.614916838493351e-17	P60	56472.1875	nan	sdss_r'
GeneralFilters	4.304028888531767e-15	2.5757960144848885e-17	LCOGT	56475.611699218745	nan	sdss_r'
GeneralFilters	4.455349891188062e-15	3.7191433352167247e-17	LCOGT	56477.235	nan	sdss_r'
GeneralFilters	4.3563197919582744e-15	3.209855044246067e-17	LCOGT	56478.25	nan	sdss_r'
GeneralFilters	4.208955939461531e-15	2.2014603949062177e-17	LCOGT	56480.17625	nan	sdss_r'
GeneralFilters	3.981216735194069e-15	1.9427404847742577e-17	LCOGT	56481.2	nan	sdss_r'
