MJD,Mag,Mag_err,Flux,Flux_err,band,Instr,FilterSet
55702.95,18.68,0.12,1.33862392278e-16,1.47950183507e-17,Bessell_U,LTetal,GeneralFilters
55702.95,16.99,0.03,5.84543059669e-16,1.61515216249e-17,Bessell_V,LTetal,GeneralFilters
55702.95,17.63,0.05,4.33101916318e-16,1.99450803252e-17,sdss_g',LTetal,GeneralFilters
55702.95,16.58,0.03,4.63194819985e-16,1.27985458518e-17,sdss_i',LTetal,GeneralFilters
55702.95,16.62,0.05,6.45356060406e-16,2.97197448873e-17,sdss_r',LTetal,GeneralFilters
55702.95,19.5,0.16,1.38136483189e-16,2.03565444473e-17,sdss_u',LTetal,GeneralFilters
55702.95,16.69,0.04,2.88587742063e-16,1.06319653263e-17,sdss_z',LTetal,GeneralFilters
55703.86,18.35,0.13,2.90702085425e-16,3.48070469969e-17,Bessell_B,LTetal,GeneralFilters
55703.86,16.26,0.09,3.58471287709e-16,2.97147831604e-17,Bessell_I,LTetal,GeneralFilters
55703.86,16.4,0.09,6.11878666049e-16,5.0720497026e-17,Bessell_R,LTetal,GeneralFilters
55703.86,18.52,0.14,1.55116709013e-16,2.00014876234e-17,Bessell_U,LTetal,GeneralFilters
55703.86,16.99,0.13,5.84543059669e-16,6.99899270411e-17,Bessell_V,LTetal,GeneralFilters
55708.97,18.29,0.04,3.07219053842e-16,1.13183682186e-17,Bessell_B,LTetal,GeneralFilters
55708.97,16.15,0.04,3.96692852851e-16,1.46147047916e-17,Bessell_I,LTetal,GeneralFilters
55708.97,16.46,0.04,5.78982332063e-16,2.13304973906e-17,Bessell_R,LTetal,GeneralFilters
55708.97,18.76,0.07,1.2435366288e-16,8.01737693141e-18,Bessell_U,LTetal,GeneralFilters
55708.97,17.16,0.04,4.99823312571e-16,1.84141713385e-17,Bessell_V,LTetal,GeneralFilters
55708.97,17.75,0.08,3.87784195763e-16,2.85729954708e-17,sdss_g',LTetal,GeneralFilters
55708.97,16.65,0.03,4.34273865023e-16,1.19994303345e-17,sdss_i',LTetal,GeneralFilters
55708.97,16.81,0.07,5.41750589769e-16,3.49279512994e-17,sdss_r',LTetal,GeneralFilters
55708.97,19.57,0.12,1.29511518408e-16,1.43141419996e-17,sdss_u',LTetal,GeneralFilters
55708.97,16.71,0.03,2.83320422151e-16,7.82843256702e-18,sdss_z',LTetal,GeneralFilters
55710.27,18.3,0.1,3.04402452627e-16,2.80365019876e-17,Bessell_B,LTetal,GeneralFilters
55710.27,16.2,0.03,3.78838733401e-16,1.04677010421e-17,Bessell_I,LTetal,GeneralFilters
55710.27,16.46,0.07,5.78982332063e-16,3.73283704336e-17,Bessell_R,LTetal,GeneralFilters
55710.27,17.09,0.1,5.33109606488e-16,4.91012093133e-17,Bessell_V,LTetal,GeneralFilters
