MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err
54322.916203571614	3.342767694170401e-15	7.025489205157504e-16	8.425119541467188e-16	3.952927625343852e-17	1.2668168125612597e-15	1.6029608695412576e-16	nan	nan	2.3324924997499497e-15	1.2199720702267742e-16	nan	nan	nan	nan
54322.96620357162	3.43765194635272e-15	7.036832276476622e-16	8.673263785543869e-16	3.9483778407641325e-17	1.319913131099671e-15	1.5880240156088646e-16	nan	nan	2.403873994419808e-15	1.2454523243896745e-16	nan	nan	nan	nan
54323.01620357162	3.5334796143545967e-15	7.046827959542163e-16	8.922935350675929e-16	3.944360276271413e-17	1.3732033666027789e-15	1.5737160286996828e-16	nan	nan	2.475727242324498e-15	1.2704776564527742e-16	nan	nan	nan	nan
54323.06620357162	3.63025022161519e-15	7.055357857919322e-16	9.174168774774624e-16	3.9408511701980875e-17	1.4266920365088055e-15	1.5600139403575248e-16	nan	nan	2.548058930509052e-15	1.2950413816431488e-16	nan	nan	nan	nan
54323.116203571626	3.727963377035031e-15	7.062346232270015e-16	9.426984510987505e-16	3.9376793275912274e-17	1.480383658587684e-15	1.5468953102938518e-16	nan	nan	2.620873601731602e-15	1.3191261721066367e-16	nan	nan	nan	nan
54323.16620357163	3.826618774695207e-15	7.067758637562496e-16	9.681398896739068e-16	3.934642384597588e-17	1.5342827509697902e-15	1.5343382704538536e-16	nan	nan	2.6941757949676318e-15	1.3427176832352748e-16	nan	nan	nan	nan
54323.21620357163	3.92621619357934e-15	7.071600324627658e-16	9.937428272394841e-16	3.9315557140961597e-17	1.5883938294426253e-15	1.5223213849884586e-16	nan	nan	2.76797005007693e-15	1.365804377783315e-16	nan	nan	nan	nan
54323.266203571635	4.026755497308069e-15	7.073914406696396e-16	1.019508898194035e-15	3.9282531727254544e-17	1.6427213178495772e-15	1.510817818214555e-16	nan	nan	2.8422609078609997e-15	1.388377340279876e-16	nan	nan	nan	nan
54323.31620357164	4.1282366338759284e-15	7.074779781945496e-16	1.0454397373016032e-15	3.924587628959711e-17	1.6972695273305374e-15	1.499794043387108e-16	nan	nan	2.9170529099342802e-15	1.410430108471031e-16	nan	nan	nan	nan
54323.36620357164	4.2306596353926824e-15	7.074308794721196e-16	1.0715369796859632e-15	3.920431302566867e-17	1.7520427624538564e-15	1.4892169125448672e-16	nan	nan	2.992350598924064e-15	1.4319585188760572e-16	nan	nan	nan	nan
54323.41620357164	4.334024617835828e-15	7.072644611177802e-16	1.0978022608381253e-15	3.9156759425084917e-17	1.807045328203177e-15	1.4790542261916223e-16	nan	nan	3.0681585182685213e-15	1.4529605642972375e-16	nan	nan	nan	nan
54323.46620357165	4.4383317808029746e-15	7.069958279641102e-16	1.124237216626111e-15	3.910232862848691e-17	1.8622815299356436e-15	1.4692748397167547e-16	nan	nan	3.1444812124248515e-15	1.4734362617123898e-16	nan	nan	nan	nan
54323.51620357165	4.543581406874454e-15	7.066445370442411e-16	1.1508434832893665e-15	3.904032854671974e-17	1.917755673405409e-15	1.4598487596508606e-16	nan	nan	3.2213232266956706e-15	1.4933875273935929e-16	nan	nan	nan	nan
54323.56620357165	4.649773355902185e-15	7.062232134352991e-16	1.1776226974492361e-15	3.8970259907349474e-17	1.9734720647558e-15	1.4507472293199137e-16	nan	nan	3.2986891074101725e-15	1.5128180590900204e-16	nan	nan	nan	nan
54323.616203571655	4.756906076236243e-15	7.057196882065771e-16	1.2045764961121035e-15	3.889181328566443e-17	2.0294350105637182e-15	1.441942803559626e-16	nan	nan	3.376583401789859e-15	1.5317332227495465e-16	nan	nan	nan	nan
54323.66620357166	4.864977824075552e-15	7.051189245294239e-16	1.231706516663283e-15	3.8804865231397995e-17	2.08564881782397e-15	1.4334094129303404e-16	nan	nan	3.4550106579837666e-15	1.5501399424907083e-16	nan	nan	nan	nan
54323.71620357166	4.9739869376304795e-15	7.044081509334191e-16	1.2590143968893602e-15	3.8709473475735836e-17	2.142117793951876e-15	1.425122417111595e-16	nan	nan	3.533975425199532e-15	1.56804659320954e-16	nan	nan	nan	nan
