MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	sdss_u	sdss_u_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
54517.96659994555	nan	nan	2.716124137295646e-16	1.115972165986133e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.478827561182573e-16	1.88854259184272e-18
54518.01659994555	nan	nan	2.76219523793285e-16	1.1248817306234142e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.520615028167579e-16	2.3533875257924745e-18
54518.06659994555	nan	nan	2.8087106992561004e-16	1.1338264766644246e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.5627328406658376e-16	2.764371302242035e-18
54518.116599945555	nan	nan	2.855671151220159e-16	1.1428085835487563e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.605182316347143e-16	3.1159267720297776e-18
54518.16659994556	nan	nan	2.903077225006186e-16	1.1518307568344467e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.6479647774253704e-16	3.4046454989888303e-18
54518.21659994556	nan	nan	2.950929553035334e-16	1.1608962041941726e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.6910815506753693e-16	3.628283530494124e-18
54518.266599945564	nan	nan	2.999228768960875e-16	1.170008607712465e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.7345339674497316e-16	3.785404726153451e-18
54518.31659994557	nan	nan	3.047975507672021e-16	1.1791720927619732e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.778323363694945e-16	3.8752336933379185e-18
54518.36659994557	nan	nan	3.0971701184224825e-16	1.1883894625587e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.822451079968256e-16	3.897593409066533e-18
54518.41659994557	nan	nan	3.1468118041989996e-16	1.1976569815720066e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.866918461454302e-16	3.852885594907295e-18
54518.466599945576	nan	nan	3.1968994823480424e-16	1.2069695835240251e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.9117268579820725e-16	3.7421003328664136e-18
54518.51659994558	nan	nan	3.247432071450589e-16	1.21632262683765e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.9568776240416946e-16	3.566855059278449e-18
54518.56659994558	nan	nan	3.298408491320215e-16	1.2257119143516943e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.002372118800942e-16	3.3294753984971775e-18
54518.616599945584	nan	nan	3.349827663004526e-16	1.2351337087039879e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.04821170612239e-16	3.033151756491067e-18
54518.66659994559	nan	nan	3.401688508765604e-16	1.2445847436138004e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.0943977545804424e-16	2.6822577710291984e-18
54518.71659994559	nan	nan	3.453989952095506e-16	1.254062231285992e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.1409316374784953e-16	2.283068286625395e-18
54518.76659994559	nan	nan	3.5067309177000485e-16	1.2635638663266994e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.187814732865218e-16	1.8456305223256397e-18
54518.816599945596	nan	nan	3.5599103315057256e-16	1.2730878261153833e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.2350484235527257e-16	1.3896448229998327e-18
54518.8665999456	nan	nan	3.6135271206484983e-16	1.2826327681713979e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.2826340971326593e-16	9.672119535077925e-19
54518.9165999456	nan	nan	3.667580213473081e-16	1.2921978244259806e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.330573145994298e-16	7.439077149354572e-19
54518.966599945605	nan	nan	3.7220685395346095e-16	1.3017825927142623e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.378866684337496e-16	9.259600927073646e-19
54519.01659994561	nan	nan	3.7769910295898187e-16	1.3113871256641472e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.4275145775370993e-16	1.3156394677563371e-18
54519.06659994561	nan	nan	3.832346615592512e-16	1.3210119169586392e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.4765163487714126e-16	1.7315779055503254e-18
54519.11659994561	nan	nan	3.888134230701906e-16	1.330657885372725e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.5258715260208555e-16	2.11714357160331e-18
54519.166599945616	nan	nan	3.9443528092609343e-16	1.340326356384656e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.5755796420710935e-16	2.452197712217623e-18
54519.21659994562	nan	nan	4.001001230035655e-16	1.3500187636390244e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.625640234504152e-16	2.7273290508090158e-18
54519.26659994562	nan	nan	4.058077581148844e-16	1.3597330287412139e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.676052845689537e-16	2.937324979782258e-18
54519.316599945625	nan	nan	4.1155793706049424e-16	1.3694645906858164e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.726817022774721e-16	3.0791537269272114e-18
54519.36659994563	nan	nan	4.1735040941794593e-16	1.3792091987957026e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.777932317677074e-16	3.1512279856187907e-18
54519.41659994563	nan	nan	4.231849248808249e-16	1.3889629879865243e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.8293982870745135e-16	3.1531180813880995e-18
54519.466599945634	nan	nan	4.2906123325965717e-16	1.398722485545219e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.8812144923967665e-16	3.085465781217619e-18
54519.51659994564	nan	nan	4.3497908447966798e-16	1.4084846154621335e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.9333804998167945e-16	2.9500285627137914e-18
54519.56659994564	nan	nan	4.409382285814494e-16	1.4182467003151104e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	3.985895880242142e-16	2.7498674537019318e-18
54519.61659994564	nan	nan	4.469384157190289e-16	1.428006460979407e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	4.0387602093061605e-16	2.489780575520183e-18
