MJD	Bessell_B	Bessell_B_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56948.552900000126	2.0290961199908903e-15	1.3397903092074352e-17	1.2030985748294666e-15	8.188566656663637e-18	1.7265520953765717e-15	1.224597470707898e-17	nan	nan	8.653166971602817e-16	8.485450934327512e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.60290000013	2.0443359203501406e-15	1.3525058870318646e-17	1.2111633702589595e-15	8.265749160030443e-18	1.7424364461082064e-15	1.2298572967137657e-17	nan	nan	8.705632308968165e-16	8.383651115631541e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.65290000013	2.0591410839019166e-15	1.3650834964680504e-17	1.2189847332913232e-15	8.342000418303369e-18	1.7579401990687074e-15	1.2346722178988702e-17	nan	nan	8.757359258839645e-16	8.433494882036281e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.702900000135	2.0735257562574155e-15	1.377517136752694e-17	1.2265721473766594e-15	8.4171984329892e-18	1.7730709934859979e-15	1.2390512934484537e-17	nan	nan	8.808377714297323e-16	8.67144748522045e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.75290000014	2.0875040766055518e-15	1.3898052110285873e-17	1.2339350923844798e-15	8.491260449456445e-18	1.787836462895321e-15	1.2430062366147267e-17	nan	nan	8.858695285468557e-16	9.041115689316601e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.80290000014	2.1010901779198558e-15	1.4019506242054415e-17	1.2410830447484982e-15	8.564144164579084e-18	1.802244235251138e-15	1.2465515277779806e-17	nan	nan	8.908316085869766e-16	9.470134803912219e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.85290000014	2.11429818717846e-15	1.413960799805955e-17	1.248025477608094e-15	8.635848081306559e-18	1.8163019330420354e-15	1.2497045037849292e-17	nan	nan	8.957244215758568e-16	9.895361320993494e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.90290000015	2.1271422255666337e-15	1.4258476204144323e-17	1.254771860950699e-15	8.70641106849069e-18	1.830017173406145e-15	1.252485423589205e-17	nan	nan	9.005483763300559e-16	1.0267879998963958e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56948.95290000015	2.139636408687114e-15	1.4376272953092456e-17	1.2613316617482688e-15	8.775911171680978e-18	1.843397568241092e-15	1.2549175096945928e-17	nan	nan	9.053038811039596e-16	1.0553092693038371e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.00290000015	2.1517948467869416e-15	1.4493201580467563e-17	1.2677143441122444e-15	8.844463708095738e-18	1.8564507243181085e-15	1.2570269644556569e-17	nan	nan	9.099913426139336e-16	1.0729219684689528e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.052900000155	2.1636316449422413e-15	1.460950396006238e-17	1.2739293694183724e-15	8.912218669068808e-18	1.869184243397727e-15	1.2588429597846956e-17	nan	nan	9.14611166865671e-16	1.0785896605135279e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.10290000016	2.1751606975523215e-15	1.472543375684427e-17	1.2799861826807527e-15	8.979355783018226e-18	1.881605722340238e-15	1.2603975984286525e-17	nan	nan	9.191637583586659e-16	1.0723488097919779e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.15290000016	2.1863932154072804e-15	1.4840972139703724e-17	1.2858929204068502e-15	9.045924863214532e-18	1.8937226813675754e-15	1.2617245814768708e-17	nan	nan	9.23649520860526e-16	1.0553289459263521e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.202900000164	2.1973385295206792e-15	1.495591969470733e-17	1.2916553541843054e-15	9.11171712646163e-18	1.9055419716306956e-15	1.2628487179051335e-17	nan	nan	9.280688569508707e-16	1.0298611214652796e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.25290000017	2.2080059279097183e-15	1.5070108422857102e-17	1.2972790047257452e-15	9.176523215844434e-18	1.9170700803359966e-15	1.2637913207313494e-17	nan	nan	9.324221683289353e-16	9.996540424925786e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.30290000017	2.2184046942903406e-15	1.5183408927902614e-17	1.3027693905968857e-15	9.240166364318818e-18	1.9283134866914232e-15	1.264576552403292e-17	nan	nan	9.367098554211097e-16	9.699654418307576e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.35290000017	2.2285441082305382e-15	1.529573249026228e-17	1.3081320282831017e-15	9.302504795744377e-18	1.9392786655250107e-15	1.2652315476612632e-17	nan	nan	9.409323177309718e-16	9.475852429291602e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.402900000176	2.2384334452843356e-15	1.5407032462232857e-17	1.3133724322796688e-15	9.363433422946508e-18	1.949972087383336e-15	1.2657864386629158e-17	nan	nan	9.450899537120019e-16	9.403014023082672e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.45290000018	2.2480819771260907e-15	1.5517305029462126e-17	1.3184961151842218e-15	9.422884899472457e-18	1.9604002186280116e-15	1.2662743423485784e-17	nan	nan	9.491834769740713e-16	9.551656235692738e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.50290000018	2.257498971695072e-15	1.5626589376013303e-17	1.3235085877598129e-15	9.48083007241833e-18	1.970569521529304e-15	1.2667313076904375e-17	nan	nan	9.532185618384121e-16	9.913366137445678e-19	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.552900000184	2.266693693329133e-15	1.5734967283494845e-17	1.3284153590314384e-15	9.537277873920263e-18	1.980486454368373e-15	1.2671962201654903e-17	nan	nan	9.572048236934099e-16	1.0415689095319402e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.60290000019	2.2756754029011925e-15	1.5842562187409216e-17	1.3332219363655555e-15	9.592274679444036e-18	1.9901574715269752e-15	1.267710660653038e-17	nan	nan	9.611519862147274e-16	1.0984581108966026e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.65290000019	2.2844533579719148e-15	1.594953770834118e-17	1.3379338255468223e-15	9.645903152163612e-18	1.9995890235891767e-15	1.2683187158803602e-17	nan	nan	9.650697718794325e-16	1.1556359177693488e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.70290000019	2.2930368129071817e-15	1.6056095670528623e-17	1.342556530867785e-15	9.698280584625223e-18	2.0087875574321044e-15	1.2690667376715857e-17	nan	nan	9.689679032070208e-16	1.2080754529861776e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.752900000196	2.301435019031396e-15	1.6162473615582374e-17	1.3470955552078364e-15	9.749556742053943e-18	2.017759516328312e-15	1.2700030485496928e-17	nan	nan	9.728561021866362e-16	1.2520100193704087e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.8029000002	2.3096571871921556e-15	1.6268937188546092e-17	1.3515564001140281e-15	9.799911206580644e-18	2.0265113356596226e-15	1.2711775084190652e-17	nan	nan	9.76744067811358e-16	1.2847417182333375e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.8529000002	2.31771081269754e-15	1.637557056894602e-17	1.3559441473528693e-15	9.849489495839561e-18	2.03504883394064e-15	1.2726302757736144e-17	nan	nan	9.806389767942575e-16	1.3044475544121806e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.902900000205	2.3256010053418146e-15	1.6482193248317974e-17	1.3602617983987976e-15	9.898159838953423e-18	2.0433765823716428e-15	1.274380677697638e-17	nan	nan	9.84543212993463e-16	1.3100529263446533e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56949.95290000021	2.3333326961587885e-15	1.6588634486832784e-17	1.364511709230611e-15	9.945723204584363e-18	2.051498793442202e-15	1.276441672090481e-17	nan	nan	9.884572658178289e-16	1.3012278975905182e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.00290000021	2.3409108136599082e-15	1.6694757687446044e-17	1.3686962345356327e-15	9.992009929658842e-18	2.0594189884429953e-15	1.2788114296390118e-17	nan	nan	9.923770567541688e-16	1.278420697239851e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.05290000021	2.3483402839274278e-15	1.6800462494307127e-17	1.3728177279399348e-15	1.0036882360097643e-17	2.0671405410366597e-15	1.2814859772713136e-17	nan	nan	9.962975478718666e-16	1.2430592090312225e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.102900000216	2.3556260306835802e-15	1.6905686354250755e-17	1.3768785420506848e-15	1.0080236925761553e-17	2.0746668217884025e-15	1.2844627320211557e-17	nan	nan	1.0002137015691243e-15	1.1978617039709056e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.15290000022	2.3627729753616227e-15	1.7010405573420187e-17	1.3808810284853629e-15	1.0122005716391828e-17	2.0820011982230597e-15	1.2877406830354173e-17	nan	nan	1.0041204797137917e-15	1.1473022399478397e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.20290000022	2.3697860371756323e-15	1.7114635896405505e-17	1.3848275379150327e-15	1.0162157591434347e-17	2.0891470348649216e-15	1.2913205256656286e-17	nan	nan	1.0080128442691822e-15	1.0982202155717327e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.252900000225	2.3766701332065086e-15	1.721843263042262e-17	1.3887204200839432e-15	1.02006988494383e-17	2.0961076932957067e-15	1.2952047477723789e-17	nan	nan	1.0118857567849344e-15	1.0603622816777807e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.30290000023	2.3834301784639787e-15	1.732189033310166e-17	1.3925620238603819e-15	1.0237673475931984e-17	2.1028865322014362e-15	1.2993976686864345e-17	nan	nan	1.0157341784500477e-15	1.0462200494548042e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.35290000023	2.3900710859623153e-15	1.7425142077333772e-17	1.3963546972644113e-15	1.0273162981246297e-17	2.109486907422314e-15	1.3039054313880378e-17	nan	nan	1.0195530701777385e-15	1.0691574288946534e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.402900000234	2.396597766790447e-15	1.752835830349034e-17	1.4001007875018953e-15	1.0307285833076662e-17	2.1159121732554425e-15	1.3087358994960449e-17	nan	nan	1.023338546810564e-15	1.1380988434717217e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56950.45290000024	2.403015130201073e-15	1.7631745265263486e-17	1.4038026410055505e-15	1.0340196481845014e-17	2.1221658212559315e-15	1.3138931012354508e-17	nan	nan	1.0270911965619616e-15	1.2495063319306576e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
