MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56341.91829998325	nan	nan	9.979638641426769e-16	2.5289352187130628e-17	1.7856621482282775e-15	4.677421315192242e-17	3.0917274845256306e-15	7.44053549322286e-17	4.0503117304841285e-15	4.773677584599553e-17	1.1801301564503412e-15	1.524425688777433e-17	2.1931802935386804e-15	3.0881224327170473e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56341.96829998325	nan	nan	1.0095349421171896e-15	2.5175609972352747e-17	1.812467165249691e-15	4.678954843020048e-17	3.134320708309497e-15	7.431754070206035e-17	4.115730092221978e-15	4.8339766684797826e-17	1.1993548800607996e-15	1.5249613204265172e-17	2.2249412491592778e-15	3.1004439459414625e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.018299983254	nan	nan	1.021115767436634e-15	2.5074459617850378e-17	1.8391993119216412e-15	4.68126648097796e-17	3.1768723447223674e-15	7.425059326775565e-17	4.180740487745126e-15	4.892592791314806e-17	1.2185788406427564e-15	1.5272180101110803e-17	2.2565841921221645e-15	3.114752439136246e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.06829998326	nan	nan	1.0327033024859758e-15	2.498520395872984e-17	1.8658503722250142e-15	4.6839597728575583e-17	3.219368908884905e-15	7.420049706824219e-17	4.2453200023516876e-15	4.949200282189536e-17	1.2378006396382347e-15	1.5309788834322868e-17	2.2881030392021095e-15	3.130791180127212e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.11829998326	nan	nan	1.044294509621687e-15	2.4907166462453978e-17	1.892412156896576e-15	4.686676117183097e-17	3.2617969135513075e-15	7.416350401033363e-17	4.309445709310851e-15	5.003580354455339e-17	1.2570189716891968e-15	1.5360220606395405e-17	2.3194917073468216e-15	3.1483225453731026e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.16829998326	nan	nan	1.0558863544132071e-15	2.4839689826562133e-17	1.9188764752981827e-15	4.6890983190729725e-17	3.3041429246793284e-15	7.413608203258161e-17	4.373094667323158e-15	5.055613230795151e-17	1.276232538270984e-15	1.542145967386838e-17	2.3507441756366128e-15	3.167124705764041e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.218299983266	nan	nan	1.0674758394329324e-15	2.478209399404654e-17	1.94523513529861e-15	4.69094963931516e-17	3.3463937781437003e-15	7.411470194295216e-17	4.436243919816212e-15	5.1052697967647875e-17	1.29544004084787e-15	1.5491719745311568e-17	2.381854742430366e-15	3.186977340392532e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.26829998327	nan	nan	1.0790599902398459e-15	2.4733697264663693e-17	1.9714799434104767e-15	4.691992504949131e-17	3.3885363893755325e-15	7.40960268205533e-17	4.498870884012411e-15	5.152572601911606e-17	1.3146401808841294e-15	1.556944553598268e-17	2.4128182012611736e-15	3.2076716799070666e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.31829998327	nan	nan	1.090635832349995e-15	2.4693849198163597e-17	1.9976028076667177e-15	4.6920140285262074e-17	3.430557669825595e-15	7.407699434327434e-17	4.560955329877371e-15	5.1974340285950435e-17	1.3338316598206721e-15	1.5653309519734317e-17	2.4436299113015028e-15	3.2290149269275396e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.368299983274	nan	nan	1.1022003907873644e-15	2.4661933343590996e-17	2.023595895167383e-15	4.6908047063775993e-17	3.4724445265426562e-15	7.405481464294207e-17	4.622477900523766e-15	5.239767893975929e-17	1.3530131791051713e-15	1.5742204915946237e-17	2.474285274722978e-15	3.2508326605059726e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.41829998328	nan	nan	1.113750689992047e-15	2.463736907975577e-17	2.049451411633038e-15	4.6881852242322304e-17	3.5141838617703726e-15	7.402696621344599e-17	4.683419222782736e-15	5.2795567106817075e-17	1.372183430644147e-15	1.5835213394607067e-17	2.5047796936500575e-15	3.2729684951711777e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.46829998328	nan	nan	1.1252837537284285e-15	2.4619613050536244e-17	2.0751615607100613e-15	4.684010593168204e-17	3.555762624670076e-15	7.399115113476297e-17	4.743759905006018e-15	5.3168492473061747e-17	1.3913410074193655e-15	1.593138452115269e-17	2.5351085725340285e-15	3.2952832418104664e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.51829998328	nan	nan	1.1367966243786865e-15	2.4608147913765574e-17	2.1007185438566524e-15	4.6781691038604576e-17	3.597168060384868e-15	7.39451015841506e-17	4.8034805364734624e-15	5.3517572586830177e-17	1.410484443738004e-15	1.6029821338081053e-17	2.5652674844426185e-15	3.317645941956499e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.568299983286	nan	nan	1.1482864173747035e-15	2.460244857356904e-17	2.1261145602311214e-15	4.6705812532663335e-17	3.6383875162742305e-15	7.388671988402431e-17	4.862561743344445e-15	5.3844458715654045e-17	1.4296122731226986e-15	1.612980868740734e-17	2.5952522854361814e-15	3.339927484974001e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.61829998329	nan	nan	1.1597502648112492e-15	2.4602018782450448e-17	2.1513418270979685e-15	4.6611961417018505e-17	3.67940833344941e-15	7.381415473364657e-17	4.9209853730247155e-15	5.415011392750907e-17	1.4487230290530463e-15	1.623080667290579e-17	2.625058858380762e-15	3.3620124906816983e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.66829998329	nan	nan	1.1711852977463783e-15	2.4606402991132016e-17	2.1763927681031813e-15	4.649967313772422e-17	3.720217846243298e-15	7.372579579507556e-17	4.978734461637128e-15	5.443482480140325e-17	1.467815245010489e-15	1.6332441235315902e-17	2.6546830864725637e-15	3.383799941925455e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.718299983295	nan	nan	1.1825886461127552e-15	2.4615186704243388e-17	2.2012599261773305e-15	4.6368628178639e-17	3.76080338182206e-15	7.36202676732563e-17	5.035792074113589e-15	5.4699356287066693e-17	1.486887454440807e-15	1.6434493934535872e-17	2.6841208525776304e-15	3.4052024807626117e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.7682999833	nan	nan	1.1939574386289902e-15	2.4627996539353024e-17	2.2259358430311333e-15	4.6218796270186134e-17	3.801152269618261e-15	7.349641728390823e-17	5.092141253520454e-15	5.494499777270197e-17	1.5059381907596536e-15	1.6536891097259955e-17	2.7133680394833984e-15	3.4261456685064947e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.8182999833	nan	nan	1.2052888027109267e-15	2.464450001358986e-17	2.2504130575233172e-15	4.605043477965963e-17	3.841252054933289e-15	7.335317096130135e-17	5.147765020539647e-15	5.5173549806186613e-17	1.5249659757744225e-15	1.6639685671462165e-17	2.742420532194079e-15	3.4465671737086997e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.8682999833	nan	nan	1.2165798851255545e-15	2.4664395837887705e-17	2.2746841055515654e-15	4.58640853083677e-17	3.881090497388865e-15	7.318953010417734e-17	5.202646372943952e-15	5.5387301150372135e-17	1.5439690544705565e-15	1.674289054650755e-17	2.771274376705244e-15	3.466408794970091e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.91829998331	nan	nan	1.227827920864045e-15	2.4687382600898555e-17	2.298741519944699e-15	4.566057028584609e-17	3.920655357492451e-15	7.30047033276211e-17	5.2567684761535165e-15	5.558878471813324e-17	1.5629453891803658e-15	1.684646605344044e-17	2.7999258901822904e-15	3.485610795498446e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56342.96829998331	nan	nan	1.2390301675960763e-15	2.471318746629633e-17	2.322577868874014e-15	4.5440942902493734e-17	3.9599343866704244e-15	7.279810899554633e-17	5.310115779870318e-15	5.577950834725029e-17	1.581892929456007e-15	1.6950471093163785e-17	2.8283714162032594e-15	3.504122612093568e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
56343.01829998331	nan	nan	1.2501838813418033e-15	2.474157641824129e-17	2.346185916872487e-15	4.520628965367416e-17	3.99891532689237e-15	7.256937166212547e-17	5.362673257377119e-15	5.59607829142669e-17	1.6008096247850785e-15	1.7055063551233782e-17	2.856607298267583e-15	3.5219035741299375e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
