MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_i	sdss_i_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56374.55460000012	nan	nan	nan	nan	3.4913988508894905e-15	4.710311480223823e-17	nan	nan	5.154951126390142e-15	1.5577966875620227e-16	2.3431149407425096e-15	5.4917624152624157e-17	nan	nan	1.1228526046786081e-14	6.198119250083356e-16	1.0609836396431335e-14	1.6238289741482712e-15	1.2663194533958432e-14	8.861413810597386e-16	1.0507638624264588e-14	1.1921065019477776e-15
56374.60460000012	9.951188548281295e-15	3.242428009407321e-16	2.00578847533555e-15	6.736335207083785e-17	3.5106636882357247e-15	4.8096176124219555e-17	1.0704955678397705e-14	4.1204747498269956e-16	5.1700713561909005e-15	1.5556711168601978e-16	2.348231084977603e-15	5.507345175380596e-17	nan	nan	1.1203647672695593e-14	6.158201033053675e-16	1.0459199224417456e-14	1.6108445284942238e-15	1.2611465846154253e-14	8.806726001240796e-16	1.044033573029145e-14	1.1878616075047107e-15
56374.654600000125	9.943194287485912e-15	3.222721257294468e-16	2.0086461167377268e-15	6.681209369256289e-17	3.529664863443257e-15	4.9104750352988515e-17	1.0681909496649716e-14	4.084221909912332e-16	5.184692746653141e-15	1.556106659426698e-16	2.353335912544759e-15	5.524040429801557e-17	nan	nan	1.1178580237063197e-14	6.120320807433736e-16	1.0307307511454725e-14	1.595729647342666e-15	1.2559350885952065e-14	8.756177452773425e-16	1.0372543150974207e-14	1.1843727316614019e-15
56374.70460000013	9.93518091049349e-15	3.203231257178498e-16	2.011516675338277e-15	6.62813326652657e-17	3.548403870701886e-15	5.0126473116465604e-17	1.0658802072811543e-14	4.0488824510628365e-16	5.198824930146349e-15	1.558990747939447e-16	2.358429321857005e-15	5.541752804670959e-17	nan	nan	1.1153323673429205e-14	6.084439815604738e-16	1.0154421895532203e-14	1.5786895639047977e-15	1.2506854851423198e-14	8.70966486454253e-16	1.0304303882423522e-14	1.1816191913691452e-15
56374.75460000013	9.927148249885791e-15	3.183957306251796e-16	2.0143999453168446e-15	6.577103006316319e-17	3.5668826280414875e-15	5.115906511916512e-17	1.0635634816128846e-14	4.0144481277885024e-16	5.2124776863618684e-15	1.564190007747606e-16	2.3635112104553153e-15	5.560388817698677e-17	nan	nan	1.1127877912318581e-14	6.05051873194457e-16	1.0000801633666931e-14	1.5600368438071287e-15	1.2453982928842029e-14	8.667085612286406e-16	1.0235660851095558e-14	1.1795823505217647e-15
56374.804600000134	9.919096138216987e-15	3.164898682152072e-16	2.017295721025663e-15	6.528113407586619e-17	3.585103045655183e-15	5.220038311262625e-17	1.0612409135688211e-14	3.980910274940058e-16	5.2256606976172595e-15	1.571562921630732e-16	2.368581475004398e-15	5.579857042069356e-17	nan	nan	1.110224288124132e-14	6.018517738713013e-16	9.846704760339726e-15	1.5401995143859352e-15	1.2400740292827361e-14	8.628338033304767e-16	1.0166656918209603e-14	1.1782456426837038e-15
56374.85460000014	9.91102440801245e-15	3.1460546430044227e-16	2.020203796986328e-15	6.481157975050591e-17	3.6030670259527074e-15	5.324841589327744e-17	1.0589126440420087e-14	3.948259811088162e-16	5.23838355055177e-15	1.580964160650681e-16	2.3736400112884434e-15	5.600068245879887e-17	nan	nan	1.1076418504692556e-14	5.988396600734808e-16	9.692388245299689e-15	1.5197302177299546e-15	1.2347132106483155e-14	8.593321682025686e-16	1.0097334884160422e-14	1.1775945589634652e-15
56374.90460000014	9.90293289176949e-15	3.1274244274705653e-16	2.0231239678865404e-15	6.436228876922086e-17	3.620776463612953e-15	5.4301279434359256e-17	1.0565788139102094e-14	3.9164872429721387e-16	5.250655737807919e-15	1.5922485531202298e-16	2.3786867142068625e-15	5.620935508419647e-17	nan	nan	1.1050404704152697e-14	5.960114738212606e-16	9.538108150805982e-15	1.4993154246327656e-15	1.2293163521539452e-14	8.561937552925423e-16	1.0027737492925374e-14	1.1776166017032047e-15
56374.95460000014	9.894821421956117e-15	3.109007254797669e-16	2.0260560285768543e-15	6.393316926500789e-17	3.638233245637135e-15	5.535721144575828e-17	1.054239564036276e-14	3.8855826710117694e-16	5.262486659699646e-15	1.6052745902261185e-16	2.3837214777699984e-15	5.642374314759442e-17	nan	nan	1.102420139808733e-14	5.933631297015595e-16	9.38411978837503e-15	1.4797831129680426e-15	1.2238839678492699e-14	8.53408826818714e-16	9.957907436466696e-15	1.178301205079393e-15
56375.004600000146	9.886689831012092e-15	3.0908023248873674e-16	2.028999774067458e-15	6.352411567849057e-17	3.655439251401058e-15	5.641456559411055e-17	1.0518950352684644e-14	3.855535795893025e-16	5.273885625866898e-15	1.6199074054150665e-16	2.388744195094802e-15	5.664302630212475e-17	nan	nan	1.0997808501947693e-14	5.908905215816015e-16	9.230677875101317e-15	1.462106508584655e-15	1.2184165706746144e-14	8.509678227966941e-16	9.887887359129427e-15	1.179639624090909e-15
56375.05460000015	9.878537951347847e-15	3.0728088183553055e-16	2.0319549995249173e-15	6.313500865800922e-17	3.672396352707792e-15	5.74718055635284e-17	1.0495453684407864e-14	3.8263359262250577e-16	5.284861856917344e-15	1.6360211999767067e-16	2.3937547584005015e-15	5.686640956287295e-17	nan	nan	1.0971225928170398e-14	5.885895289461298e-16	9.078036689619554e-15	1.4474006123237013e-15	1.2129146724749814e-14	8.488613721596832e-16	9.817719862035065e-15	1.181624793750157e-15
56375.10460000015	9.870365615344367e-15	3.0550258966102707e-16	2.0349215002689425e-15	6.276571500492136e-17	3.689106413840048e-15	5.8527499094188e-17	1.0471907043733629e-14	3.7979719872388263e-16	5.295424486054986e-15	1.6535011166654855e-16	2.3987530590042347e-15	5.709312369768463e-17	nan	nan	1.094445358617746e-14	5.864560228018316e-16	8.926450227776038e-15	1.436907557444709e-15	1.207378784014031e-14	8.47080299854123e-16	9.747447507471483e-15	1.1842511605948996e-15
56375.154600000154	9.862172655353128e-15	3.037452701931536e-16	2.037899071769155e-15	6.241608766564033e-17	3.70557129161176e-15	5.958031210022105e-17	1.0448311838727717e-14	3.7704325305246583e-16	5.30558256069619e-15	1.672244585476037e-16	2.4037389873166597e-15	5.732242546558979e-17	nan	nan	1.0917491382376309e-14	5.844858710960198e-16	8.776172358076695e-15	1.4319668290567743e-15	1.2018094149880429e-14	8.456156298386228e-16	9.677112823279298e-15	1.1875144889031544e-15
