#MJD,band,Flux,Flux_err,FilterSet,Instr
55742.89,Bessell_V,3.360189552934217e-16,4.9517583195131176e-17,GeneralFilters,LTetal
55749.89,Bessell_B,1.9477649865053854e-16,1.2557704943231202e-17,GeneralFilters,LTetal
55749.89,Bessell_I,2.0521882226447268e-16,1.7011216834153664e-17,GeneralFilters,LTetal
55749.89,Bessell_R,3.041081060096137e-16,2.8009391662280165e-17,GeneralFilters,LTetal
55749.89,Bessell_U,9.299080450241288e-17,1.4560108335817594e-17,GeneralFilters,LTetal
55749.89,Bessell_V,3.064529294567867e-16,1.6935214729685458e-17,GeneralFilters,LTetal
55749.89,sdss_g',2.334359475277838e-16,1.2900147190743592e-17,GeneralFilters,LTetal
55749.89,sdss_i',2.2725080287128996e-16,6.279171732760899e-18,GeneralFilters,LTetal
55749.89,sdss_r',3.0333448327505517e-16,1.3969069187652887e-17,GeneralFilters,LTetal
55749.89,sdss_u',9.976090195773281e-17,2.0214300982627153e-17,GeneralFilters,LTetal
55749.89,sdss_z',1.9999170517299398e-16,9.209958381088547e-18,GeneralFilters,LTetal
55759.94,Bessell_B,1.6501998928766257e-16,1.2159122156105924e-17,GeneralFilters,LTetal
55759.94,Bessell_I,1.738670121200902e-16,9.608246166504446e-18,GeneralFilters,LTetal
55759.94,Bessell_R,2.7228768303926473e-16,1.5047173439321695e-17,GeneralFilters,LTetal
55759.94,Bessell_U,1.0010136623433433e-16,3.0424932605639417e-17,GeneralFilters,LTetal
55759.94,Bessell_V,2.6937902534177466e-16,1.9848580099792256e-17,GeneralFilters,LTetal
55759.94,sdss_g',2.0145021499424939e-16,3.3397650865947686e-17,GeneralFilters,LTetal
55759.94,sdss_i',1.979271750894408e-16,1.4583813211529547e-17,GeneralFilters,LTetal
55759.94,sdss_r',2.7159500850019593e-16,3.502075460267431e-17,GeneralFilters,LTetal
55759.94,sdss_u',9.615245272979535e-17,5.756379312064999e-17,GeneralFilters,LTetal
55759.94,sdss_z',1.6634585488416723e-16,7.660509714753731e-18,GeneralFilters,LTetal
55774.88,Bessell_B,1.4240871070759301e-16,2.885591934605573e-17,GeneralFilters,LTetal
55774.88,Bessell_I,1.7227298977098733e-16,1.2693542981533842e-17,GeneralFilters,LTetal
55774.88,Bessell_R,2.203068477433417e-16,1.8261909485995624e-17,GeneralFilters,LTetal
55774.88,Bessell_V,2.261329129819398e-16,1.6662088782906592e-17,GeneralFilters,LTetal
55901.57,Bessell_B,4.3006743090183996e-17,9.110455069455455e-18,GeneralFilters,LTetal
55901.57,Bessell_I,4.2093708661142444e-17,6.590855532895308e-18,GeneralFilters,LTetal
55901.57,Bessell_R,6.067754435976194e-17,1.5089242585227484e-17,GeneralFilters,LTetal
55901.57,Bessell_V,6.228217597040152e-17,1.3193720915320347e-17,GeneralFilters,LTetal
55909.19,sdss_g',5.1070220765318505e-17,2.869282108335536e-17,GeneralFilters,LTetal
55909.19,sdss_i',3.7025883153300505e-17,1.0571650578857877e-17,GeneralFilters,LTetal
55909.19,sdss_r',5.726928803059547e-17,1.8988906882395855e-17,GeneralFilters,LTetal
55909.19,sdss_z',2.037098285719907e-17,1.8387121211000417e-17,GeneralFilters,LTetal
55910.61,Bessell_B,3.511854825698144e-17,1.973068075173531e-17,GeneralFilters,LTetal
55910.61,Bessell_I,4.615483374174465e-17,9.777339757201365e-18,GeneralFilters,LTetal
55910.61,Bessell_R,6.714721374180302e-17,2.102725558210021e-17,GeneralFilters,LTetal
55910.61,Bessell_V,5.325541547826339e-17,2.943003019241158e-17,GeneralFilters,LTetal
55913.22,Bessell_B,4.107112079999898e-17,9.835254052691123e-18,GeneralFilters,LTetal
55913.22,Bessell_I,3.734368670773001e-17,3.095532587908522e-18,GeneralFilters,LTetal
