MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	sdss_u'	sdss_u'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55268.2000000001	nan	nan	nan	nan	7.007345470384186e-17	1.6040391406041825e-17	8.450374627535703e-17	7.704618472032594e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.2500000001	nan	nan	nan	nan	7.486233472645143e-17	1.707561831861262e-17	9.093848574150093e-17	8.10201389065951e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.300000000105	nan	nan	nan	nan	7.956576005924245e-17	1.8090347957626535e-17	9.740765117780572e-17	8.479661515523429e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.35000000011	nan	nan	nan	nan	8.418766773354869e-17	1.9083100605203394e-17	1.0391217620160703e-16	8.838910815016474e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.40000000011	nan	nan	nan	nan	8.873199146861722e-17	2.0052449460217436e-17	1.1045299464948461e-16	9.181194350658137e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.45000000011	nan	nan	nan	nan	9.320266182839179e-17	2.099702974713735e-17	1.1703104058278424e-16	9.508011075708973e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.50000000012	nan	nan	nan	nan	9.760360637749552e-17	2.19155440161755e-17	1.2364724829340568e-16	9.820910714832062e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.55000000012	nan	nan	nan	nan	1.019387498375845e-16	2.2806765024413422e-17	1.3030255230969036e-16	1.0121478138383822e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.60000000012	nan	nan	nan	nan	1.062120142434512e-16	2.36695370758937e-17	1.3699771389659333e-16	1.0411068616266626e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55268.650000000125	nan	nan	nan	nan	1.10427319099069e-16	2.4502776384464725e-17	1.4373280054182833e-16	1.0690051289122453e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
