MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
53551.40180000018	1.2592955087232137e-14	1.4796895835973227e-16	nan	nan	3.1692917563752862e-15	4.4931001504452745e-17	nan	nan	5.572100769747028e-15	9.727914636716205e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.451800000184	1.2647379123224207e-14	1.4922864558293962e-16	nan	nan	3.2066200086663167e-15	4.4871872193246215e-17	nan	nan	5.628724725946866e-15	9.635287593646512e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.50180000019	1.2699489801288195e-14	1.5034684037537103e-16	nan	nan	3.2433724436754225e-15	4.480076692595217e-17	nan	nan	5.6838028832944e-15	9.541319513006664e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.55180000019	1.2749270462788864e-14	1.5133663501336693e-16	nan	nan	3.2795375746937887e-15	4.4718763216192324e-17	nan	nan	5.737299965741272e-15	9.446695753698402e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.60180000019	1.2796704275869879e-14	1.5221212538748535e-16	nan	nan	3.3151039108775378e-15	4.4626984109644606e-17	nan	nan	5.789180650056022e-15	9.352122507633699e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.651800000196	1.2841774232708927e-14	1.5298832888883294e-16	nan	nan	3.350059965187049e-15	4.452659562798734e-17	nan	nan	5.839409564729094e-15	9.258323820252931e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.7018000002	1.288446315118425e-14	1.5368107888307136e-16	nan	nan	3.384394247605458e-15	4.441880276935755e-17	nan	nan	5.887951288928577e-15	9.166037734031602e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.7518000002	1.2924753668208522e-14	1.5430689218142994e-16	nan	nan	3.4180952696045213e-15	4.430484566814907e-17	nan	nan	5.934770351406366e-15	9.076011450767482e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.801800000205	1.2962628243454036e-14	1.5488280610104793e-16	nan	nan	3.4511515419943865e-15	4.4185994827960286e-17	nan	nan	5.979831229445062e-15	8.988995421041608e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
53551.85180000021	1.2998069156803894e-14	1.5542618213495273e-16	nan	nan	3.4835515764122138e-15	4.4063546833343994e-17	nan	nan	6.0230983477510545e-15	8.905736291663974e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
