MJD,Mag,Mag_err,band,Instr
56480.251,15.107,0.031,sdss_z',LCOGT
56481.192,15.219,0.01,sdss_i',P60
56481.193,15.241,0.01,sdss_r',P60
56481.195,16.342,0.014,Bessell_B,LCOGT
56481.198,15.438,0.007,Bessell_V,LCOGT
56481.2,15.02,0.007,Bessell_R,LCOGT
56481.203,14.784,0.014,Bessell_I,LCOGT
56481.205,15.894,0.006,sdss_g',LCOGT
56481.209,15.245,0.008,sdss_r',LCOGT
56481.211,15.237,0.01,sdss_i',LCOGT
56481.213,15.127,0.029,sdss_z',LCOGT
56482.231,16.016,0.01,sdss_g',P60
56482.697,16.629,0.017,Bessell_B,LCOGT
56482.7,15.608,0.012,Bessell_V,LCOGT
56482.702,16.087,0.009,sdss_g',LCOGT
56482.706,15.34,0.008,sdss_r',LCOGT
56482.708,15.353,0.009,sdss_i',LCOGT
56483.21,16.184,0.007,sdss_g',LCOGT
56483.213,15.414,0.01,sdss_r',LCOGT
56485.191,15.488,0.01,sdss_i',P60
56485.192,15.596,0.01,sdss_r',P60
56485.193,16.449,0.01,sdss_g',P60
56485.195,17.056,0.018,Bessell_B,LCOGT
56485.198,15.869,0.011,Bessell_V,LCOGT
56485.2,15.338,0.011,Bessell_R,LCOGT
56485.203,15.045,0.019,Bessell_I,LCOGT
56485.205,16.437,0.012,sdss_g',LCOGT
56485.209,15.599,0.008,sdss_r',LCOGT
56485.211,15.484,0.011,sdss_i',LCOGT
56485.213,15.345,0.035,sdss_z',LCOGT
56485.846,18.01,0.1,Bessell_U,LCOGT
56486.191,15.569,0.01,sdss_i',P60
56486.192,15.694,0.01,sdss_r',P60
56486.193,16.561,0.01,sdss_g',P60
56487.084,17.258,0.018,Bessell_B,LCOGT
56487.087,16.113,0.01,Bessell_V,LCOGT
56487.089,16.666,0.015,sdss_g',LCOGT
56487.092,15.773,0.02,sdss_r',LCOGT
56487.094,15.625,0.013,sdss_i',LCOGT
56487.195,17.332,0.016,Bessell_B,LCOGT
56487.198,16.118,0.011,Bessell_V,LCOGT
56487.2,15.515,0.009,Bessell_R,LCOGT
56487.203,15.196,0.016,Bessell_I,LCOGT
56487.205,16.694,0.008,sdss_g',LCOGT
56487.209,15.794,0.011,sdss_r',LCOGT
56487.211,15.644,0.015,sdss_i',LCOGT
56487.213,15.431,0.022,sdss_z',LCOGT
56487.221,15.651,0.01,sdss_i',P60
56487.222,16.714,0.01,sdss_g',P60
56487.222,15.791,0.01,sdss_r',P60
56488.185,15.721,0.01,sdss_i',P60
56488.185,15.874,0.01,sdss_r',P60
56488.186,16.796,0.01,sdss_g',P60
56488.216,15.299,0.05,Bessell_I,LCOGT
56488.226,16.817,0.014,sdss_g',LCOGT
56488.23,15.899,0.019,sdss_r',LCOGT
56488.234,15.399,0.05,sdss_z',LCOGT
56494.205,18.481,0.513,Bessell_U,LCOGT
56494.208,18.046,0.084,Bessell_B,LCOGT
56495.199,18.003,0.05,Bessell_B,LCOGT
56499.208,18.172,0.053,Bessell_B,LCOGT
