MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVW1	swift_UVW1_err	swift_V	swift_V_err
55963.90000000017	6.070327805700934e-16	1.9603489632126418e-17	3.019541992577257e-16	1.5239321355758287e-17	4.2918598992188833e-16	1.4327664681771814e-17	6.025408546153588e-16	1.901696424769557e-17	nan	nan	nan	nan	nan	nan	nan	nan
55963.95000000017	6.209443276216709e-16	1.9614467567816122e-17	3.0730633734207486e-16	1.5245348062736183e-17	4.389261766451586e-16	1.434760006909095e-17	6.167782924739588e-16	1.906479148419667e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.000000000175	6.347689315775334e-16	1.9637955001953064e-17	3.1260904721736365e-16	1.524802848208355e-17	4.4859758593659e-16	1.4370408984216226e-17	6.30935421924864e-16	1.9109735632314487e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.05000000018	6.485089703902899e-16	1.9681623815946088e-17	3.1786121548457243e-16	1.5247591911840526e-17	4.582011505689116e-16	1.439925619002926e-17	6.450121128195719e-16	1.9154236990856043e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.10000000018	6.621668017852338e-16	1.9750613995128925e-17	3.2306192589231564e-16	1.5244210708914905e-17	4.677379153277434e-16	1.4436345437847152e-17	6.59008494985298e-16	1.9200106155262698e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.15000000018	6.757447090374147e-16	1.9840159007639184e-17	3.282110520504461e-16	1.5237692834394103e-17	4.772093756441623e-16	1.4479988984591664e-17	6.729257404213347e-16	1.9246528207487904e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.200000000186	6.892449553026562e-16	1.9942964803717333e-17	3.3330866470795174e-16	1.5227785127273726e-17	4.866171389933533e-16	1.452754023717677e-17	6.867652811142302e-16	1.929205928222172e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.25000000019	7.026698017628894e-16	2.005194925583228e-17	3.3835483417953637e-16	1.5214275974266227e-17	4.959628120410641e-16	1.4576453091086788e-17	7.005285483193802e-16	1.9335331124550538e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.30000000019	7.160215076786103e-16	2.0160532793589504e-17	3.433496303466901e-16	1.5196996659125018e-17	5.052480006630886e-16	1.4624369589570724e-17	7.142169725739838e-16	1.9375093843490586e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.350000000195	7.293023304416604e-16	2.0262861305567203e-17	3.4829312265753263e-16	1.5175822400184824e-17	5.144743099647518e-16	1.466919073150028e-17	7.27831983709768e-16	1.941025173083559e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.4000000002	7.425145256277719e-16	2.0353969669757274e-17	3.531853801276897e-16	1.5150673096886907e-17	5.236433443006752e-16	1.4709131995006108e-17	7.41375010866409e-16	1.9439892668358928e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.4500000002	7.556603470490648e-16	2.0429896387588796e-17	3.580264713408285e-16	1.512151379876381e-17	5.32756707294527e-16	1.474276545930016e-17	7.548474825034522e-16	1.9463311657130236e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.500000000204	7.687420468064636e-16	2.0487759792544568e-17	3.6281646444887913e-16	1.5088354906041726e-17	5.418160018578589e-16	1.4769050421358915e-17	7.682508264140092e-16	1.9480028989816337e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.55000000021	7.817618753423714e-16	2.0525804899607655e-17	3.67555427172708e-16	1.5051252102732035e-17	5.508228302105526e-16	1.478735418971721e-17	7.815864697377139e-16	1.9489803500216197e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.60000000021	7.947220814929012e-16	2.0543427751521193e-17	3.722434268026904e-16	1.5010306017482955e-17	5.597787938999227e-16	1.4797464371491962e-17	7.948558389728544e-16	1.949264122199053e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.65000000021	8.076249125404502e-16	2.054118152614538e-17	3.7688053019866395e-16	1.4965661599896097e-17	5.686854938201005e-16	1.4799593495718946e-17	8.080603599902177e-16	1.948879964383108e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.700000000215	8.204726142659329e-16	2.052076594196465e-17	3.8146680379126694e-16	1.4917507193815777e-17	5.7754453023205e-16	1.4794376301746382e-17	8.212014580446494e-16	1.947878761193837e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.75000000022	8.332674310012173e-16	2.0484998775869875e-17	3.8600231358156916e-16	1.4866073281566355e-17	5.863575027825203e-16	1.478285948652315e-17	8.342805577895767e-16	1.946336076047226e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.80000000022	8.460116056814948e-16	2.0437765686578936e-17	3.904871251419946e-16	1.4811630866664164e-17	5.951260105242105e-16	1.4766483190843054e-17	8.472990832883771e-16	1.9443512214052196e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.850000000224	8.587073798974429e-16	2.0383942142976672e-17	3.949213036168475e-16	1.4754489457034232e-17	6.038516519347227e-16	1.4747053044309445e-17	8.602584580282874e-16	1.9420458154891863e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.90000000023	8.713569939476244e-16	2.032927931877915e-17	3.9930491372239554e-16	1.4694994603600762e-17	6.125360249363283e-16	1.4726701226766795e-17	8.731601049324928e-16	1.939561775175283e-17	nan	nan	nan	nan	nan	nan	nan	nan
55964.95000000023	8.839626868906791e-16	2.0280244698779348e-17	4.036380197477463e-16	1.463352494592017e-17	6.211807269156345e-16	1.4707834795249172e-17	8.86005446373654e-16	1.9370586862010968e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.00000000023	8.965266965975755e-16	2.0243808352441038e-17	4.0792068555503194e-16	1.4570488711515267e-17	6.297873547427865e-16	1.4693069535418378e-17	8.987959041860179e-16	1.93471049137273e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.050000000236	9.090512598037744e-16	2.0227167948537158e-17	4.1215297457990747e-16	1.4506319614227833e-17	6.383575047909515e-16	1.4685147895065396e-17	9.1153289967922e-16	1.9327014417974735e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.10000000024	9.215383726711164e-16	2.023510974300933e-17	4.163350462590387e-16	1.4441349140339513e-17	6.468926486896052e-16	1.4685920727881137e-17	9.242178202193405e-16	1.9311576564700943e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.15000000024	9.33989072362024e-16	2.0262879700024243e-17	4.204674453118918e-16	1.437543449190423e-17	6.553937605412723e-16	1.4693523067369334e-17	9.368519189497955e-16	1.9299531039555655e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.200000000244	9.46404155534985e-16	2.030331316520523e-17	4.2455081246444364e-16	1.4308330411094594e-17	6.63861689734029e-16	1.4705199283732067e-17	9.494364150951094e-16	1.9289038224606997e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.25000000025	9.587844178520542e-16	2.0349475385543786e-17	4.2858578802788585e-16	1.4239816825028993e-17	6.722972852189693e-16	1.4718322437082502e-17	9.619725274019194e-16	1.9278365978574382e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.30000000025	9.711306539965921e-16	2.039493866813788e-17	4.3257301190339613e-16	1.4169703034172382e-17	6.80701395519615e-16	1.4730477602113035e-17	9.744614741504504e-16	1.9265932849833605e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.35000000025	9.83443657690423e-16	2.0433998734997315e-17	4.3651312358787764e-16	1.4097831405002006e-17	6.890748687428863e-16	1.473952939657081e-17	9.869044731654382e-16	1.925034419552038e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.400000000256	9.95724221711132e-16	2.046183702375521e-17	4.4040676217877646e-16	1.4024080574476423e-17	6.974185525884454e-16	1.4743675139686477e-17	9.993027418267159e-16	1.9230421681408904e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.45000000026	1.0079731379097428e-15	2.0474637848789164e-17	4.442545663796645e-16	1.394836816965678e-17	7.057332943598488e-16	1.4741485370294206e-17	1.0116574970808364e-15	1.9205226718060053e-17	nan	nan	nan	nan	nan	nan	nan	nan
55965.50000000026	1.0201911972277397e-15	2.0469669586664737e-17	4.480571745053056e-16	1.3870653044079447e-17	7.140199409741078e-16	1.4731933479296906e-17	1.0239699554514453e-15	1.9174078366201825e-17	nan	nan	nan	nan	nan	nan	nan	nan
