MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56451.45000000014	1.6655541541021032e-14	2.1003515666851094e-16	3.054737873061463e-15	3.9179059275478195e-17	7.349354648345302e-15	6.819168720019575e-17	2.5608849239498376e-14	5.858071380163605e-16	9.606077384407021e-15	6.44593846724331e-17	nan	nan	nan	nan	nan	nan	2.7780975480062156e-14	6.707266440588306e-16	nan	nan	nan	nan
56451.500000000146	1.6932899003747773e-14	2.1265784527463956e-16	3.1189247665151223e-15	3.978542321158086e-17	7.462984127134148e-15	6.890213665248886e-17	2.5823011652370716e-14	5.880392937603764e-16	9.744922569619723e-15	6.521793429972375e-17	nan	nan	nan	nan	nan	nan	2.8102838018850824e-14	6.768820001710254e-16	nan	nan	nan	nan
56451.55000000015	1.7195453627330673e-14	2.150829830447502e-16	3.1815753786397754e-15	4.036332477924643e-17	7.56901605583225e-15	6.955471903070151e-17	2.602899615184186e-14	5.906776384496304e-16	9.874289139750782e-15	6.591942511809181e-17	nan	nan	nan	nan	nan	nan	2.83973086386023e-14	6.825220094976114e-16	nan	nan	nan	nan
56451.60000000015	1.744329719181905e-14	2.173175857928511e-16	3.242663425104175e-15	4.091246126577618e-17	7.667664941959683e-15	7.015130660756025e-17	2.6226473735016437e-14	5.936273510456491e-16	9.994503387129037e-15	6.656365369122243e-17	nan	nan	nan	nan	nan	nan	2.8665390106751544e-14	6.876665575857855e-16	nan	nan	nan	nan
56451.650000000154	1.7676545574370673e-14	2.1936852532263104e-16	3.3021645946374963e-15	4.1432648138473307e-17	7.759144442039579e-15	7.069402036627276e-17	2.641514150975567e-14	5.968028439531469e-16	1.010588687340771e-14	6.715047215142176e-17	nan	nan	nan	nan	nan	nan	2.8908039780440616e-14	6.923347147652192e-16	nan	nan	nan	nan
56451.70000000016	1.789533683788903e-14	2.2124247663261368e-16	3.3600564975298393e-15	4.192380236356885e-17	7.843666610411871e-15	7.11852248491229e-17	2.659472221513864e-14	6.001275784629603e-16	1.020875547438714e-14	6.767975443809029e-17	nan	nan	nan	nan	nan	nan	2.9126172066472146e-14	6.965447095610058e-16	nan	nan	nan	nan
56451.75000000016	1.8099829444973398e-14	2.2294588288319003e-16	3.416318616898637e-15	4.238592823907445e-17	7.921441251636494e-15	7.162751161228553e-17	2.6764963684886997e-14	6.035337061327744e-16	1.0303418593283825e-14	6.815136631863903e-17	nan	nan	nan	nan	nan	nan	2.932066101928514e-14	7.003139323663454e-16	nan	nan	nan	nan
56451.80000000016	1.8290200586509935e-14	2.244849339806076e-16	3.4709322625087735e-15	4.281910532983259e-17	7.99267534690761e-15	7.202366053345922e-17	2.6925638268685688e-14	6.069615908859774e-16	1.03901784976402e-14	6.856513103626273e-17	nan	nan	nan	nan	nan	nan	2.949234298521813e-14	7.036589598639183e-16	nan	nan	nan	nan
56451.850000000166	1.846664461537683e-14	2.2586555556414345e-16	3.5238805268901075e-15	4.3223478167247445e-17	8.057572566987854e-15	7.237658514960932e-17	2.7076542223012396e-14	6.103592569162075e-16	1.0469329764156708e-14	6.892080455837839e-17	nan	nan	nan	nan	nan	nan	2.964201922393777e-14	7.065955926069264e-16	nan	nan	nan	nan
56451.90000000017	1.862937157680708e-14	2.270934058945624e-16	3.5751482435832745e-15	4.3599247428765086e-17	8.116332835959996e-15	7.26892524555791e-17	2.721749508051881e-14	6.136817980100325e-16	1.0541158806653232e-14	6.921805385174808e-17	nan	nan	nan	nan	nan	nan	2.977045845604993e-14	7.091388999644758e-16	nan	nan	nan	nan
56451.95000000017	1.8778605827820794e-14	2.2817387869230233e-16	3.624721947293426e-15	4.394666236629781e-17	8.169156466334604e-15	7.296402809132555e-17	2.7348339004989843e-14	6.168907753306981e-16	1.0605943481974415e-14	6.94564492110711e-17	nan	nan	nan	nan	nan	nan	2.987839930045102e-14	7.113032681834866e-16	nan	nan	nan	nan
56452.000000000175	1.8914584738955826e-14	2.2911211038253374e-16	3.672589835817698e-15	4.426601428740798e-17	8.216257382534011e-15	7.320096389954223e-17	2.7468938137348895e-14	6.199536233624029e-16	1.0663952753097032e-14	6.963546606650364e-17	nan	nan	nan	nan	nan	nan	2.9966552576527235e-14	7.131024486098507e-16	nan	nan	nan	nan
56452.05000000018	1.9037557472218952e-14	2.2991299054983637e-16	3.718741733589391e-15	4.4557630928304284e-17	8.257849312095488e-15	7.339950435267384e-17	2.7579177936939167e-14	6.228430777016428e-16	1.0715446397123995e-14	6.975450592778396e-17	nan	nan	nan	nan	nan	nan	3.003560345545519e-14	7.145496041280856e-16	nan	nan	nan	nan
