MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56193.26000000023	3.2548849678123827e-16	4.108874369335724e-17	1.172123192376351e-16	9.891601707164167e-18	1.8701038182094684e-16	2.3943460140382787e-17	2.3650972744721625e-16	2.5033888874971483e-17	2.769723091975603e-15	2.208728816047483e-16	6.990984083923388e-15	5.46026356717626e-16	4.698264450990788e-15	3.443562712784353e-16	6.734961388193432e-15	6.689385049850822e-16
56193.31000000023	3.1560978738532906e-16	4.706678844773074e-17	1.159621802046083e-16	1.0479566103111481e-17	1.7904967164563983e-16	2.787366462402901e-17	2.2860240070448727e-16	2.994603399111177e-17	3.0217255663689615e-15	2.394864319329448e-16	7.663246033339835e-15	5.907516542711339e-16	5.160306323469888e-15	3.7367123073994644e-16	7.4281028044251e-15	7.26641831603062e-16
56193.36000000023	3.057795669106692e-16	5.2371196944975094e-17	1.144115102783149e-16	1.0691219139660457e-17	1.7127354791904032e-16	3.1297516127850185e-17	2.2019542964108517e-16	3.435345215293345e-17	3.274156572965154e-15	2.575197300727348e-16	8.336079340206765e-15	6.341437506393931e-16	5.622682911564222e-15	4.0208231680313324e-16	8.122847723087645e-15	7.824151075640666e-16
56193.410000000236	2.963854481233977e-16	5.685284218898112e-17	1.1266020715218006e-16	1.0545734466650354e-17	1.6395317710783129e-16	3.411284718437328e-17	2.116922784470717e-16	3.8100322577650004e-17	3.5269986020259638e-15	2.749726139071527e-16	9.009429919775398e-15	6.762101221826425e-16	6.085357281261798e-15	4.295930492711197e-16	8.819099542987737e-15	8.362654953797989e-16
56193.46000000024	2.878150671470877e-16	6.039588062032117e-17	1.1080814625149936e-16	1.0111452416822671e-17	1.5735977722945778e-16	3.625335456342331e-17	2.03496401668309e-16	4.107260746264673e-17	3.780234145135058e-15	2.918459578820035e-16	9.683243688101118e-15	7.169586994640306e-16	6.54829249888816e-15	4.56207419315836e-16	9.516761674541812e-15	8.882007331893806e-16
56193.51000000024	2.8045610443137095e-16	6.290947818536619e-17	1.089551916559085e-16	9.518463077104562e-18	1.5176464889087478e-16	3.7676222535788745e-17	1.9601128258392156e-16	4.3186258338178764e-17	4.033845695120641e-15	3.081413869546756e-16	1.0357466562011723e-14	7.563978507012848e-16	7.0114516311063984e-15	4.819298086200852e-16	1.021573753903973e-14	9.382291289081104e-16
56193.560000000245	2.7469630571174495e-16	6.432327162009147e-17	1.072012070145825e-16	8.973703749542118e-18	1.474392063227143e-16	3.8356528143951975e-17	1.8964047158710492e-16	4.4381107284844946e-17	4.2878157459710794e-15	3.2386109879781947e-16	1.1032044458938137e-14	7.94536375114124e-16	7.474797744871115e-15	5.067649410263747e-16	1.0915930567816357e-14	9.863595611824094e-16
56193.61000000025	2.7092350299452525e-16	6.458492277442159e-17	1.0564612634159909e-16	8.747037470316736e-18	1.4465500844117131e-16	3.8284650936482385e-17	1.847876245611002e-16	4.461748887738542e-17	4.542126792858343e-15	3.39007750090577e-16	1.170692329698847e-14	8.313835024296193e-16	7.938293907351712e-15	5.307178533249382e-16	1.1617244201569378e-14	1.0326014846845992e-15
56193.66000000025	2.6952563551697927e-16	6.365913081852018e-17	1.044025982420826e-16	8.95603144934038e-18	1.4368378990483903e-16	3.746528000914581e-17	1.8185654127320517e-16	4.3874409591579043e-17	4.7967613319715914e-15	3.5358438219260543e-16	1.2382048994609423e-14	8.669488967300684e-16	8.40190318603979e-15	5.537938777708866e-16	1.2319581889521404e-14	1.0769649383353735e-15
56193.710000000254	2.7089077073717707e-16	6.152803880629254e-17	1.0361162529002315e-16	9.359316035718488e-18	1.4479749219949782e-16	3.591753078943301e-17	1.812512037739921e-16	4.214879654324063e-17	5.051701860545305e-15	3.6759437185488614e-16	1.3057367470734432e-14	9.01242662596191e-16	8.865588648411606e-15	5.759986322340394e-16	1.3022847088718814e-14	1.1194605556735678e-15
