spec_file	spec_mjd	Bessell_B_fitflux	Bessell_B_fitfluxerr	Bessell_B_inrange	Bessell_I_fitflux	Bessell_I_fitfluxerr	Bessell_I_inrange	Bessell_R_fitflux	Bessell_R_fitfluxerr	Bessell_R_inrange	Bessell_V_fitflux	Bessell_V_fitfluxerr	Bessell_V_inrange	swift_U_fitflux	swift_U_fitfluxerr	swift_U_inrange	swift_UVM2_fitflux	swift_UVM2_fitfluxerr	swift_UVM2_inrange	swift_UVW1_fitflux	swift_UVW1_fitfluxerr	swift_UVW1_inrange	swift_UVW2_fitflux	swift_UVW2_fitfluxerr	swift_UVW2_inrange
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/2009ip_2012-10-14_00-00-00_ESO-NTT_EFOSC2-NTT_PESSTO.txt	56214.5	1.8247676977223765e-14	2.561875396780739e-16	True	4.011609043251465e-15	6.50333098135235e-17	True	7.612964873408601e-15	1.2413456520028308e-16	True	1.0658742791535558e-14	1.6500089227943358e-16	True	2.7829797642172963e-14	7.96359804310161e-16	True	4.4794303207702014e-14	1.2747638949515964e-15	True	3.494000019990948e-14	1.0896779110842394e-15	True	4.139421028003009e-14	9.742536930848515e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/2009ip_2012-10-15_00-00-00_ESO-NTT_EFOSC2-NTT_PESSTO.txt	56215.5	1.7208716001776793e-14	1.987973013918113e-16	True	3.867408104619832e-15	5.723439533819961e-17	True	7.246123307270252e-15	8.755053430027348e-17	True	1.0115472292363971e-14	1.5310929014292157e-16	True	2.546307996707967e-14	8.388714060932279e-16	True	3.825321718284532e-14	1.235971301115314e-15	True	3.056496651983427e-14	1.1514949972581526e-15	True	3.463550855744869e-14	9.962379739580135e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-16_06-32-56_Swift-UVOT_UV-grism_None.txt	56216.27	1.5901584458377016e-14	1.845565268467793e-16	True	3.707204519113688e-15	7.046942049938245e-17	True	6.916228091869324e-15	1.4126643675745117e-16	True	9.641809425878386e-15	1.755861702726317e-16	True	2.3507535941154423e-14	8.290604043757027e-16	True	3.300433277381857e-14	1.154567264126531e-15	True	2.7094261418034806e-14	1.128050389348705e-15	True	2.9049817220605174e-14	9.085122604222347e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-16_00-04-49_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii	56216.5	1.544535735674755e-14	2.006406722973148e-16	True	3.652871515901798e-15	7.863184255176987e-17	True	6.8147363336390515e-15	1.552973099080379e-16	True	9.501379936196979e-15	1.8362819751834032e-16	True	2.2915456021548407e-14	8.1606297884534365e-16	True	3.144404673804297e-14	1.1277345132990148e-15	True	2.6067039335785318e-14	1.10436363314417e-15	True	2.741638305565632e-14	9.016362733183744e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-20_06-00-00_FLWO-1.5m_FAST_None.dat	56220.25	1.1632768378789457e-14	3.0197597250924527e-16	True	3.0536344160587593e-15	7.592605838978791e-17	True	5.453724053530328e-15	1.6425839801916487e-16	True	7.790819208208648e-15	1.8372126932900556e-16	True	1.490729566469145e-14	3.289948299821825e-16	True	1.2978741975925956e-14	5.637065797984323e-16	True	1.371332844434717e-14	4.631262088253607e-16	True	1.037211731519058e-14	3.81351325750117e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-20_08-30-16_Swift-UVOT_UV-grism_None.txt	56220.35	1.1604712924221776e-14	2.931228067013176e-16	True	3.044333606458286e-15	7.260141312285223e-17	True	5.432820306366859e-15	1.60326033167233e-16	True	7.749963274201147e-15	1.8199176500119515e-16	True	1.477260533361674e-14	3.2394243629506486e-16	True	1.2718922494361632e-14	5.581165630151451e-16	True	1.3530712228537859e-14	4.577483629808223e-16	True	1.0197913465369953e-14	3.57879833916062e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-21_03-52-25_ESO-NTT_EFOSC2-NTT_PESSTO-SSDR.ascii	56221.16	1.1373565609899379e-14	1.9928334076237066e-16	True	2.9544256717325517e-15	4.987998063640831e-17	True	5.2941072905178115e-15	1.0852857050859849e-16	True	7.445829940788612e-15	1.3272063046049775e-16	True	1.3848473190644934e-14	3.3146954036151156e-16	True	1.0838018560861877e-14	5.9530435558747895e-16	True	1.221991737244433e-14	4.4185828335813814e-16	True	9.050825471604805e-15	4.677387058678979e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-22_09-59-14_Swift-UVOT_UV-grism_None.txt	56222.42	1.0787118631123294e-14	2.0802322347152018e-16	True	2.764875404883614e-15	6.414978793195722e-17	True	5.0764230549565756e-15	8.846367954077883e-17	True	7.043609496260112e-15	1.1365302780697246e-16	True	1.2674279904075333e-14	3.5704787282130225e-16	True	8.695965587409699e-15	6.072654406001483e-16	True	1.0646964361584428e-14	4.149549604909734e-16	True	7.713381451291748e-15	3.016957666885962e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/2009ip_2012-10-22_00-00-00_ESO-NTT_EFOSC2-NTT_PESSTO.txt	56222.5	1.0732058441590825e-14	2.1517282602363573e-16	True	2.7529743518030124e-15	6.10837515698606e-17	True	5.058235896825521e-15	8.814590678582836e-17	True	7.016811509397511e-15	1.1246408010065502e-16	True	1.2596772496484921e-14	3.5774892048822024e-16	True	8.594201239698487e-15	6.07243010765737e-16	True	1.0561510529740207e-14	4.1779512267569026e-16	True	7.62770266900819e-15	3.119544112733139e-16	True
/Users/mariavincenzi/PhD/pycoco_2/data//spec_smoothed//SN2009ip/SN2009ip_2012-10-23_21-36-00_SALT_RSS_None.dat	56223.4	1.0045705747546465e-14	2.830695483727056e-16	True	2.6415115162184985e-15	4.2554148006950147e-17	True	4.877620497786589e-15	8.7313927981226e-17	True	6.75210508766506e-15	1.1552703912430956e-16	True	1.1656839797347156e-14	3.398706499433222e-16	True	7.661830045869079e-15	5.745701133545185e-16	True	9.647927734750616e-15	4.4231252880452387e-16	True	6.608935996762485e-15	5.39082137987185e-16	True
