MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_r	sdss_r_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err
56573.41849998713	2.7829619884069674e-15	2.84502732567437e-17	3.958824108831657e-16	4.3195077730068106e-18	7.828879348764405e-16	8.218321887687544e-18	1.3369346732981905e-15	1.52315928673231e-17	9.876078996762815e-16	8.262522167424325e-18	nan	nan	1.5214398831834377e-14	6.410822432297959e-16	1.0565896624056543e-14	4.314584583232238e-16	1.852012488022971e-14	6.924884180465724e-16
56573.46849998713	2.790663855446795e-15	2.8424673551715576e-17	3.994477328275381e-16	4.3554948012864154e-18	7.895070683699872e-16	8.289995584994781e-18	1.3470046495976525e-15	1.542793433769195e-17	9.965277741384257e-16	8.367462345906672e-18	nan	nan	1.5214577806600477e-14	6.338075619067243e-16	1.0589276504639543e-14	4.2665905162381016e-16	1.84426386439821e-14	6.821890265415178e-16
56573.518499987134	2.798273192015386e-15	2.84155245670583e-17	4.030022721666062e-16	4.396019063612207e-18	7.960785897662171e-16	8.366522132486585e-18	1.3569771235304428e-15	1.5633073133971415e-17	1.005358184550938e-15	8.474495932331053e-18	nan	nan	1.5209197849516412e-14	6.262592880630449e-16	1.0609404528706296e-14	4.2171153817177193e-16	1.835987994491941e-14	6.716262763591e-16
56573.56849998714	2.8057866851080447e-15	2.842144300353264e-17	4.065453539216256e-16	4.440801214204666e-18	8.02601343172812e-16	8.447362851798264e-18	1.3668504658988396e-15	1.58462696728171e-17	1.014098216851442e-15	8.583254287937414e-18	nan	nan	1.5198051615247032e-14	6.185774722942615e-16	1.0626149268307935e-14	4.1672212276798705e-16	1.8271725815955992e-14	6.609987916263205e-16
56573.61849998714	2.8132010201425628e-15	2.8441122244003236e-17	4.1007630292308605e-16	4.489592681736187e-18	8.090741724727473e-16	8.532088347289728e-18	1.3766230452442648e-15	1.6066871153311492e-17	1.0227469565363008e-15	8.69356531792979e-18	nan	nan	1.51809290613543e-14	6.109136042458288e-16	1.0639377653745563e-14	4.1180424036527783e-16	1.8178050621203693e-14	6.505210413972338e-16
56573.66849998714	2.8205128809096198e-15	2.847333862652238e-17	4.135944438004365e-16	4.542176252261693e-18	8.154959213190858e-16	8.620375046121345e-18	1.386293227811349e-15	1.629431024745852e-17	1.031303488656035e-15	8.805443786655463e-18	nan	nan	1.5157617369922086e-14	6.034287271500831e-16	1.0648954923079634e-14	4.0707685274170143e-16	1.8078726011956972e-14	6.404203803319158e-16
56573.718499987146	2.827718949522214e-15	2.851695633742106e-17	4.170991009716901e-16	4.5983659912008465e-18	8.218654331295788e-16	8.712000737313581e-18	1.3958593775116366e-15	1.6528102814089845e-17	1.0397668978105563e-15	8.919080645170937e-18	nan	nan	1.5127900868350232e-14	5.962908057666152e-16	1.0654744571128355e-14	4.0266213031783894e-16	1.79736208818545e-14	6.30932699643986e-16
56573.76849998715	2.8348159063656596e-15	2.857093101007538e-17	4.205895986331397e-16	4.658006604952112e-18	8.281815510812377e-16	8.806839349308054e-18	1.4053198558875543e-15	1.6767844846303277e-17	1.0481362681449204e-15	9.034831489315055e-18	nan	nan	1.5091560949295632e-14	5.896712075549703e-16	1.0656608297940769e-14	3.9868243465522293e-16	1.786260132120591e-14	6.222964254731911e-16
56573.81849998715	2.8418004300472666e-15	2.863431213169224e-17	4.2406526074897213e-16	4.720972338714843e-18	8.344431181050625e-16	8.904855149397769e-18	1.4146730220760999e-15	1.701320883062282e-17	1.056410683344809e-15	9.15320414896874e-18	nan	nan	1.50483759897379e-14	5.83740196107012e-16	1.0654414489132592e-14	3.952502710423237e-16	1.774553090008237e-14	6.147443723694837e-16
56573.868499987155	2.8486691973465255e-15	2.870624436866535e-17	4.275254110410221e-16	4.787165499839008e-18	8.406489768809298e-16	9.006096497824737e-18	1.4239172327726763e-15	1.7263939665264318e-17	1.0645892266320023e-15	9.274845330419244e-18	nan	nan	1.4998191551065538e-14	5.78618304598023e-16	1.064817380625798e-14	3.923644572001982e-16	1.7622376428059523e-14	6.083888909547376e-16
56573.91849998716	2.855418883164238e-15	2.8785967923360374e-17	4.3096937297831974e-16	4.856514686719977e-18	8.467979698325766e-16	9.110689248795756e-18	1.4330508421947405e-15	1.751985025720106e-17	1.0726709807598093e-15	9.40052619627761e-18	nan	nan	1.4941157664221833e-14	5.742267329471814e-16	1.0638015096472274e-14	3.8992799057504043e-16	1.7493359534870805e-14	6.030661173815114e-16
56573.96849998716	2.862046160472743e-15	2.8872818033760834e-17	4.3439646976683935e-16	4.9289727931878615e-18	8.52888939121726e-16	9.218829858492633e-18	1.442072202045514e-15	1.778081689323001e-17	1.0806550280090815e-15	9.531126762532532e-18	nan	nan	1.4877505403551256e-14	5.704273630500125e-16	1.0624069026416581e-14	3.8783754445719423e-16	1.7358737394074227e-14	5.985612618968357e-16
56574.01849998716	2.8685477002652297e-15	2.896622372032913e-17	4.37806024339095e-16	5.004514848807661e-18	8.589207266434192e-16	9.330778241735015e-18	1.4509796614776045e-15	1.804677445971096e-17	1.0885404501834917e-15	9.667619020151225e-18	nan	nan	1.4807462838256922e-14	5.670796458112006e-16	1.0606464468445282e-14	3.859898647197328e-16	1.7218764462207043e-14	5.94655816478724e-16
56574.06849998717	2.874920171506087e-15	2.90657058770279e-17	4.411973593438485e-16	5.083135746430836e-18	8.648921740201103e-16	9.446850402217474e-18	1.4597715670566203e-15	1.8317711568590768e-17	1.0963263286044006e-15	9.811048750883265e-18	nan	nan	1.4731255118086705e-14	5.640453814638798e-16	1.0585328549444254e-14	3.842850113841248e-16	1.7073692578941085e-14	5.911355697876018e-16
56574.11849998717	2.881160241079653e-15	2.917087479280936e-17	4.445697971356982e-16	5.1648479003206994e-18	8.708021225966814e-16	9.56741085986876e-18	1.4684462627245997e-15	1.8593665633672188e-17	1.1040117441079076e-15	9.962516085058322e-18	nan	nan	1.46491045602281e-14	5.611928659182791e-16	1.0560786699123176e-14	3.826290967217485e-16	1.6923771066445768e-14	5.877974139612484e-16
56574.16849998717	2.887264575776227e-15	2.9281426910317235e-17	4.479226597647315e-16	5.249678871603121e-18	8.766494134358065e-16	9.692864897211273e-18	1.4770020897637322e-15	1.8874717930842546e-17	1.1115957770380755e-15	1.0123154953214944e-17	nan	nan	1.456123073535782e-14	5.58400360295809e-16	1.0532962697795355e-14	3.809365186405617e-16	1.6769246827984967e-14	5.844548671427271e-16
56574.218499987175	2.8932304956094418e-15	2.9397055110502275e-17	4.512552990309662e-16	5.3376352535749005e-18	8.824330722678144e-16	9.823568021739239e-18	1.4854375997425588e-15	1.916093130640314e-17	1.1190778250801755e-15	1.0293901763978527e-17	nan	nan	1.446785055287017e-14	5.555588958634119e-16	1.0501978723659052e-14	3.7913172490266536e-16	1.661036444577876e-14	5.809423695891561e-16
56574.26849998718	2.8990569098350926e-15	2.951732232655149e-17	4.545671980002551e-16	5.4285869454288204e-18	8.881529340676527e-16	9.959540649369525e-18	1.4937522737087519e-15	1.9452152355106067e-17	1.1264586765545634e-15	1.047477101873738e-17	nan	nan	1.4369178345308863e-14	5.525744664823221e-16	1.046795539959313e-14	3.771505667362438e-16	1.6447366278155327e-14	5.771185004594365e-16
56574.31849998718	2.9047429623621168e-15	2.964183960640385e-17	4.578578753982449e-16	5.522374372575625e-18	8.938090549396835e-16	1.0100729922130303e-17	1.5019458449452288e-15	1.9748192147878924e-17	1.1337394997881611e-15	1.0665527062506446e-17	nan	nan	1.4265425952025934e-14	5.493696834226678e-16	1.0431011839480715e-14	3.7494131072630226e-16	1.6280492556022952e-14	5.728683077588467e-16
56574.368499987184	2.9102877948486852e-15	2.977029655905273e-17	4.611268496113229e-16	5.618849263383522e-18	8.994014907015523e-16	1.0247109233783573e-17	1.5100180439939369e-15	2.0048893935945796e-17	1.1409214626294015e-15	1.0865945340775899e-17	nan	nan	1.4156802802091812e-14	5.4588497475593245e-16	1.0391265694073722e-14	3.724653778507013e-16	1.610998147868844e-14	5.681049530583432e-16
56574.41849998719	2.915690546689266e-15	2.990246011976878e-17	4.643736386783918e-16	5.7178748260466895e-18	9.049302968773614e-16	1.0398678336636423e-17	1.5179685986428028e-15	2.035413197718769e-17	1.148005732442339e-15	1.1075820474246863e-17	nan	nan	1.404351599648005e-14	5.420794064841546e-16	1.0348833196411458e-14	3.6969787080201404e-16	1.5936069309050037e-14	5.627708552531681e-16
56574.46849998719	2.9209503550010462e-15	3.003817298421624e-17	4.675977602834222e-16	5.819325741340857e-18	9.1039552869894e-16	1.0555462984904148e-17	1.5257972339190422e-15	2.0663810180604993e-17	1.1549934761148248e-15	1.1294972493279101e-17	nan	nan	1.3925770389550313e-14	5.379311882034844e-16	1.0303829206806023e-14	3.6662793757239207e-16	1.5758990468192377e-14	5.568384824725774e-16
