MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_z	sdss_z_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55991.8264999856	1.264183708731361e-15	1.0465047645917696e-16	5.815252494611152e-16	3.0097791054949564e-17	9.846022919472488e-16	5.0685209694017474e-17	1.428740966499248e-15	7.576305470102746e-17	5.610383622868517e-16	2.8122277352990055e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.8764999856	1.3048539786798042e-15	1.0735053169665287e-16	5.98640252209846e-16	3.064559279802995e-17	1.0136976516053096e-15	5.1567256311653245e-17	1.4711898093294023e-15	7.703930566325071e-17	5.775999812047428e-16	2.8612722355089106e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.9264999856	1.3459978694749058e-15	1.0984615500139265e-16	6.158978223906974e-16	3.1186234239097165e-17	1.043056380647863e-15	5.243775437998633e-17	1.5140433916483288e-15	7.829964840750397e-17	5.943112786327379e-16	2.909668760431666e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55991.976499985605	1.3876080203965097e-15	1.121184472237275e-16	6.332985842580207e-16	3.1719845889177306e-17	1.0726798556496078e-15	5.329709127310251e-17	1.5573036854051594e-15	7.954470322082097e-17	6.111730920100638e-16	2.957442671465406e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.02649998561	1.4296771330925834e-15	1.141690793522853e-16	6.508431622859036e-16	3.22465767272263e-17	1.1025694536952073e-15	5.414570001568126e-17	1.6009726636048214e-15	8.077517288008102e-17	6.281862590166918e-16	3.004621940306371e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.07649998561	1.4721979702503913e-15	1.160182473699426e-16	6.685321811640882e-16	3.276659505872069e-17	1.1327265523648407e-15	5.49840599720212e-17	1.6450523003056076e-15	8.199184453255493e-17	6.453516176016377e-16	3.0512371414286755e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.126499985614	1.5151633542742453e-15	1.1770275929738488e-16	6.863662658100493e-16	3.328008910083326e-17	1.1631525297447752e-15	5.581269698070228e-17	1.6895445706305594e-15	8.319559033871117e-17	6.626700059732695e-16	3.097321416707681e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.17649998562	1.55856616596973e-15	1.1927407019787611e-16	7.043460413538133e-16	3.378726735382308e-17	1.193848764428776e-15	5.663218296555274e-17	1.7344514507670822e-15	8.438736699223432e-17	6.801422625927183e-16	3.142910415506365e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.22649998562	1.6023993432341008e-15	1.2079604781644032e-16	7.224721331508181e-16	3.428835874038542e-17	1.2248166355166973e-15	5.744313506277673e-17	1.7797749179871544e-15	8.55682141852793e-17	6.977692261808545e-16	3.188042210322112e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
55992.27649998562	1.6466558797527116e-15	1.2234224935594957e-16	7.40745166774701e-16	3.478361256238682e-17	1.2560575226342166e-15	5.824621428330258e-17	1.8255169506244326e-15	8.673925208228437e-17	7.155517357279814e-16	3.232757189988276e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
