MJD	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_i'	sdss_i'_err	sdss_r'	sdss_r'_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
56606.7000000003	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.024828591249505e-15	9.166255221041196e-17	2.6891209676593022e-15	1.8926250000322695e-16	nan	nan	nan	nan	nan	nan	1.2831640173442294e-15	1.7383626713840856e-17
56606.750000000306	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.0633613540746995e-15	9.260368893412745e-17	2.75212057383845e-15	1.896557878738348e-16	nan	nan	nan	nan	nan	nan	1.3057766554332425e-15	1.771707485893003e-17
56606.80000000031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.1020246330685996e-15	9.35400793604439e-17	2.815488017233211e-15	1.8995649346709037e-16	nan	nan	nan	nan	nan	nan	1.3284676307231323e-15	1.8066480582511208e-17
56606.85000000031	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.14080063932373e-15	9.447097006185999e-17	2.8791471050719417e-15	1.901628936585326e-16	nan	nan	nan	nan	nan	nan	1.3512322495133244e-15	1.843123813660154e-17
56606.900000000314	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.179671587848338e-15	9.539597487287387e-17	2.9430216687273484e-15	1.9027552444184775e-16	nan	nan	nan	nan	nan	nan	1.374065818579534e-15	1.8811046265768042e-17
56606.95000000032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.218619696772706e-15	9.63150856566459e-17	3.007035539433288e-15	1.902973334738277e-16	nan	nan	nan	nan	nan	nan	1.396963645141758e-15	1.9205927908847704e-17
56607.00000000032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.2576271865553746e-15	9.722867728668063e-17	3.071112523996554e-15	1.9023380764366882e-16	nan	nan	nan	nan	nan	nan	1.4199210368348974e-15	1.961623775630151e-17
56607.05000000032	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.296676279189411e-15	9.813750723775021e-17	3.1351763804984316e-15	1.9009307588769183e-16	nan	nan	nan	nan	nan	nan	1.442933301670672e-15	2.004265913284729e-17
56607.100000000326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.335749197409063e-15	9.904271008908642e-17	3.1991507939799e-15	1.8988598575039193e-16	nan	nan	nan	nan	nan	nan	1.46599574801574e-15	2.048619150162851e-17
56607.15000000033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.374828163895712e-15	9.99457871632632e-17	3.262959352105491e-15	1.8962615033960675e-16	nan	nan	nan	nan	nan	nan	1.489103684554421e-15	2.0948129716240752e-17
56607.20000000033	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.4138954004846577e-15	1.0084859145509811e-16	3.3265255207998332e-15	1.8932996038527853e-16	nan	nan	nan	nan	nan	nan	1.5122524202544587e-15	2.1430036024981442e-17
