MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
55831.76000000019	nan	nan	nan	nan	nan	nan	2.4401702585845166e-16	5.390526929679401e-18	nan	nan	3.0008949053817354e-16	3.052613149517569e-17	3.001100983205916e-17	2.002424246309136e-17	9.127206792594704e-17	2.5622865588295368e-17	5.5448636747391634e-17	2.344959997722096e-17	2.475505157981564e-16	2.668033619365158e-18
55831.810000000194	nan	nan	nan	nan	nan	nan	2.5051141009010186e-16	5.498361021189784e-18	nan	nan	3.0807428650495246e-16	3.113980821425573e-17	3.080960003039294e-17	2.0423988639239665e-17	9.370160620067825e-17	2.613578671499529e-17	5.692438577500738e-17	2.3918504606745083e-17	2.5413834282153243e-16	2.721350698878108e-18
55831.8600000002	nan	nan	nan	nan	nan	nan	2.5703397299132563e-16	5.605962249860802e-18	nan	nan	3.160926663339469e-16	3.175216771797684e-17	3.1611653359473246e-17	2.08228729955563e-17	9.614171304410392e-17	2.66476042047732e-17	5.840655207282334e-17	2.4386399547687465e-17	2.6075474312531395e-16	2.7745529672711526e-18
55831.9100000002	nan	nan	nan	nan	nan	nan	2.635842345121722e-16	5.7133359941925605e-18	nan	nan	3.2414401287376934e-16	3.236324036621411e-17	3.241711106050677e-17	2.1220915588642157e-17	9.859220660937633e-17	2.71583436402724e-17	5.989502798948795e-17	2.4853308199536082e-17	2.6739923132519334e-16	2.827643079379733e-18
55831.9600000002	nan	nan	nan	nan	nan	nan	2.701617326054228e-16	5.820487400293837e-18	nan	nan	3.3222773171975064e-16	3.29730552531826e-17	3.322591660996399e-17	2.1618135506190652e-17	1.0105291096491774e-16	2.7668029461504064e-17	6.138970991709702e-17	2.5319252987365043e-17	2.74071339507225e-16	2.8806235802551833e-18
55832.010000000206	nan	nan	nan	nan	nan	nan	2.767660222438428e-16	5.927421394363204e-18	nan	nan	3.403432511854039e-16	3.3581640211468626e-17	3.4038015614721266e-17	2.20145510970678e-17	1.0352365560870902e-16	2.817668511162331e-17	6.289049790332484e-17	2.578425534515294e-17	2.8077061736675435e-16	2.9334969014006034e-18
55832.06000000021	nan	nan	nan	nan	nan	nan	2.8339667445663383e-16	6.03414269812725e-18	nan	nan	3.484900215604769e-16	3.418902191699512e-17	3.4853355661167715e-17	2.2410179938154447e-17	1.0600427508015439e-16	2.868433299743614e-17	6.439729552785536e-17	2.6248335789259587e-17	2.8749663137484207e-16	2.9862654081546354e-18
55832.11000000021	nan	nan	nan	nan	nan	nan	2.9005327548664494e-16	6.140655840285444e-18	nan	nan	3.566675154280233e-16	3.47952260001265e-17	3.567188626917006e-17	2.2805038843520096e-17	1.0849460854809397e-16	2.9190994670531613e-17	6.591000956943271e-17	2.6711514057661786e-17	2.9424896262485966e-16	3.0389313221915386e-18
55832.160000000214	nan	nan	nan	nan	nan	nan	2.9673542593899474e-16	6.2469651679203074e-18	nan	nan	3.6487522723001506e-16	3.540027701713432e-17	3.6493558734785754e-17	2.31991439762822e-17	1.1099449949422424e-16	2.969669078657657e-17	6.742854982851712e-17	2.717380905724712e-17	3.0102720669356016e-16	3.0914968032677334e-18
55832.21000000022	nan	nan	nan	nan	nan	nan	3.0344274005853664e-16	6.353074856983509e-18	nan	nan	3.7311267352734083e-16	3.6004198610334804e-17	3.731832609317907e-17	2.359251087496053e-17	1.1350379531628915e-16	3.0201441207202634e-17	6.89528288286601e-17	2.7635238946081983e-17	3.078309741620629e-16	3.1439639124576804e-18
