MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57654.25000000025	8.083873364442869e-16	1.6426082424577563e-17	nan	nan	nan	nan	6.254038920755789e-16	9.024020986658658e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.30000000025	8.282314718516176e-16	1.6579743435090245e-17	nan	nan	nan	nan	6.402834463390094e-16	9.203957938137021e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.35000000025	8.482475836781694e-16	1.672118363524483e-17	nan	nan	nan	nan	6.553004217389182e-16	9.382393821608808e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.400000000256	8.684311206909702e-16	1.6849216557644676e-17	nan	nan	nan	nan	6.704538960358854e-16	9.555881330618608e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.45000000026	8.88777534121164e-16	1.6962793619854987e-17	nan	nan	nan	nan	6.857429479850161e-16	9.721544550778113e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.50000000026	9.092822775937897e-16	1.7061010949034684e-17	nan	nan	nan	nan	7.011666573305773e-16	9.877103973620658e-18	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.550000000265	9.299408070595915e-16	1.7143114156907397e-17	nan	nan	nan	nan	7.167241047985095e-16	1.0020881257212431e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.60000000027	9.507485807243315e-16	1.7208501518385113e-17	nan	nan	nan	nan	7.324143720885152e-16	1.0151790760560667e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.65000000027	9.71701058980241e-16	1.7256725907227364e-17	nan	nan	nan	nan	7.482365418692788e-16	1.0269322485687745e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57654.70000000027	9.927937043366248e-16	1.728749575660211e-17	nan	nan	nan	nan	7.64189697769174e-16	1.0373518967678256e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
