MJD	Bessell_B	Bessell_B_err	Bessell_I	Bessell_I_err	Bessell_R	Bessell_R_err	Bessell_U	Bessell_U_err	Bessell_V	Bessell_V_err	sdss_g	sdss_g_err	sdss_i	sdss_i_err	sdss_r	sdss_r_err	swift_B	swift_B_err	swift_U	swift_U_err	swift_UVM2	swift_UVM2_err	swift_UVW1	swift_UVW1_err	swift_UVW2	swift_UVW2_err	swift_V	swift_V_err
57262.20280000006	nan	nan	nan	nan	nan	nan	nan	nan	4.614381887919865e-15	4.4477873465585714e-17	nan	nan	1.8517271575853066e-15	1.0710652225101247e-17	3.0773937273907154e-15	1.4662221198101727e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.25280000006	nan	nan	nan	nan	nan	nan	nan	nan	4.705819083692668e-15	4.538694243466768e-17	nan	nan	1.8876970705650698e-15	1.0932275045453966e-17	3.1345406960438635e-15	1.4957139866152393e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.30280000006	nan	nan	nan	nan	nan	nan	nan	nan	4.793694355073386e-15	4.626592660980745e-17	nan	nan	1.9224456616146653e-15	1.1146873868718347e-17	3.189455291680942e-15	1.5242767460021827e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.352800000066	nan	nan	nan	nan	nan	nan	nan	nan	4.8781380386573875e-15	4.711764260162376e-17	nan	nan	1.956006717168314e-15	1.1355696361509835e-17	3.2422194787765723e-15	1.5519343782898817e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.40280000007	nan	nan	nan	nan	nan	nan	nan	nan	4.959280366985908e-15	4.7945571281480644e-17	nan	nan	1.988414754948209e-15	1.155942962652466e-17	3.292915200166455e-15	1.5787377321559177e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.45280000007	nan	nan	nan	nan	nan	nan	nan	nan	5.0372514594012594e-15	4.8753802917573675e-17	nan	nan	2.019705272294007e-15	1.175797284480912e-17	3.34162437800968e-15	1.604764874015514e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.502800000075	nan	nan	nan	nan	nan	nan	nan	nan	5.112177593173377e-15	4.954545154017718e-17	nan	nan	2.0499138242467687e-15	1.1951269480796368e-17	3.3884289144041752e-15	1.6301203748271014e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.55280000008	nan	nan	nan	nan	nan	nan	nan	nan	5.18417606153064e-15	5.032053200343038e-17	nan	nan	2.0790759549456556e-15	1.2139381210633151e-17	3.433410692445707e-15	1.6549336037453297e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.60280000008	nan	nan	nan	nan	nan	nan	nan	nan	5.2533627782114844e-15	5.1079091799530657e-17	nan	nan	2.1072271980370477e-15	1.2322495699567798e-17	3.4766515768126327e-15	1.6793560672176034e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.65280000008	nan	nan	nan	nan	nan	nan	nan	nan	5.3198535714333334e-15	5.1821784930087186e-17	nan	nan	2.1344030769957116e-15	1.25009299246737e-17	3.5182329133833272e-15	1.703550836305663e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.70280000009	nan	nan	nan	nan	nan	nan	nan	nan	5.3837641873695565e-15	5.254989664014795e-17	nan	nan	2.160639105502294e-15	1.2675129467273262e-17	3.558225885096757e-15	1.727554496412327e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.75280000009	nan	nan	nan	nan	nan	nan	nan	nan	5.445210293585196e-15	5.3265344403290494e-17	nan	nan	2.1859707877625126e-15	1.2845664064097164e-17	3.596692227617679e-15	1.7512871390081717e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.80280000009	nan	nan	nan	nan	nan	nan	nan	nan	5.504307482484819e-15	5.3970656939262727e-17	nan	nan	2.2104336189054054e-15	1.3013219593574605e-17	3.633693303075107e-15	1.774682139306548e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.852800000095	nan	nan	nan	nan	nan	nan	nan	nan	5.5611712718772146e-15	5.4668931878899356e-17	nan	nan	2.2340630853084494e-15	1.3178586601186042e-17	3.669290458904034e-15	1.7976940997085167e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.9028000001	nan	nan	nan	nan	nan	nan	nan	nan	5.615911225828409e-15	5.536260974670145e-17	nan	nan	2.2568946576168664e-15	1.3342644196459541e-17	3.703545028341164e-15	1.820300808995359e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57262.9528000001	nan	nan	nan	nan	nan	nan	nan	nan	5.668618622132097e-15	5.605099422513591e-17	nan	nan	2.2789613604778734e-15	1.3505938153273022e-17	3.736518331133985e-15	1.842504315457097e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.002800000104	nan	nan	nan	nan	nan	nan	nan	nan	5.719381160780939e-15	5.673321206392646e-17	nan	nan	2.3002902572068937e-15	1.3668088141666926e-17	3.768271674142404e-15	1.8643312051999607e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.05280000011	nan	nan	nan	nan	nan	nan	nan	nan	5.768286482174128e-15	5.740896423712752e-17	nan	nan	2.3209075118688053e-15	1.3828642537184891e-17	3.798866351926566e-15	1.8858321525965953e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.10280000011	nan	nan	nan	nan	nan	nan	nan	nan	5.815422169684232e-15	5.807855996972161e-17	nan	nan	2.340839281364975e-15	1.398724187143341e-17	3.8283636473254735e-15	1.9070807886485964e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.15280000011	nan	nan	nan	nan	nan	nan	nan	nan	5.860875752310884e-15	5.874293170086011e-17	nan	nan	2.360111715687225e-15	1.4143630067682195e-17	3.8568248321890726e-15	1.9281719161128617e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
57263.202800000116	nan	nan	nan	nan	nan	nan	nan	nan	5.904734707273831e-15	5.940363242613911e-17	nan	nan	2.3787509581718055e-15	1.429766213498098e-17	3.884311167792649e-15	1.949219087974088e-17	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
